date,company,자본총계,자산총계,단기매입채무,부채총계,유동부채,유동자산,재고자산,장기매입채무및기타채무,매출채권,매입채무,매입채무 및 미지급금,매출채권 및 수취채권,장기성매출채권,매입채무및기타채무,매출채권및기타채권,매출채권및계약자산,장기매출채권,장기매입채무,매입채무 및 기타채무,매출채권 및 기타채권
20191231,AP시스템,114122896319.0,420965874474.0,80609784110.0,306842978155.0,286807571145.0,252429049428.0,134134276231.0,,,,,,,,,,,,,
20181231,AP시스템,106415129289.0,420986942846.0,106227160234.0,314571813557.0,291103024173.0,284424737407.0,141833640942.0,,,,,,,,,,,,,
20171231,AP시스템,89489340129.0,468030720270.0,124188931730.0,378541380141.0,342537437568.0,324465331530.0,52439640871.0,,,,,,,,,,,,,
20191231,DMS,166005674664.0,302514623836.0,,136508949172.0,135345962490.0,134517297914.0,14498465305.0,424713972.0,,,,,,,,,,,,
20181231,DMS,151479426195.0,317314698057.0,,165835271862.0,162426446113.0,159939971787.0,14616273960.0,408825749.0,,,,,,,,,,,,
20171231,DMS,135202873362.0,298505199522.0,,163302326160.0,146972021897.0,149549936171.0,17969335446.0,330304263.0,,,,,,,,,,,,
20191231,HRS,73180190605.0,90079783467.0,,16899592862.0,15848768275.0,49891210793.0,15737703234.0,,12252096955.0,,,,,,,,,,,
20181231,HRS,71564434951.0,103752584403.0,,32188149452.0,25335505162.0,60780825840.0,31935914239.0,,14166042155.0,,,,,,,,,,,
20171231,HRS,80436665824.0,103078257500.0,,22641591676.0,8362479990.0,59868630421.0,13671925903.0,,14239158734.0,,,,,,,,,,,
20191231,SGA,38180144932.0,100397309576.0,,62217164644.0,56031358178.0,40092142943.0,3037803693.0,,,,,,,,,,,,,
20181231,SGA,68827310603.0,132956451118.0,,64129140515.0,40498391054.0,72299333082.0,8000743477.0,,,,,,,,,,,,,
20171231,SGA,78939336234.0,147318939743.0,,68379603509.0,36894397389.0,81394442916.0,11783790589.0,,,,,,,,,,,,,
20191231,SM Life Design,48809342871.0,60354836630.0,,11545493759.0,8342673794.0,41110784806.0,4977404146.0,,4190345316.0,3002193160.0,,,,,,,,,,
20181231,SM Life Design,50286134028.0,56362573791.0,,6076439763.0,4808920540.0,38276104048.0,325832612.0,,2206443430.0,2710776112.0,,,,,,,,,,
20171231,SM Life Design,41720671801.0,45895630334.0,,4174958533.0,2807413925.0,26091556521.0,246936327.0,,2196650476.0,860066287.0,,,,,,,,,,
20191231,노바렉스,91875216089.0,154372404545.0,,62497188456.0,38861818517.0,79998622253.0,25579644893.0,,23890959043.0,20701703588.0,,,,,,,,,,
20181231,노바렉스,79087525986.0,106320975057.0,,27233449071.0,26034091906.0,63975251246.0,13209993219.0,,14149502512.0,14739006062.0,,,,,,,,,,
20171231,노바렉스,52338084272.0,71798440550.0,,19460356278.0,18659747783.0,45605431420.0,8731689488.0,,13791424263.0,14263151235.0,,,,,,,,,,
20191231,대성엘텍,38063004556.0,110542670260.0,,72479665704.0,57880209654.0,51775484589.0,23482420100.0,,,,16420528793.0,21884548957.0,,,,,,,,
20181231,대성엘텍,43036021895.0,109828228405.0,,66792206510.0,53013984273.0,54378498057.0,21707056150.0,,,,21427029975.0,24732939875.0,,,,,,,,
20171231,대성엘텍,46797006146.0,106850466062.0,,60053459916.0,54003216878.0,53488221607.0,20025770066.0,,,,18429024293.0,25410553028.0,,,,,,,,
20191231,대성파인텍,53200691080.0,91992888699.0,2393199602.0,38792197619.0,21230276503.0,27067417663.0,6108854725.0,,9930961614.0,,,,,,,,,,,
20181231,대성파인텍,51707863196.0,92396973968.0,2133167761.0,40689110772.0,21695207562.0,29350172681.0,7596916821.0,,10184711920.0,,,,,,,,,,,
20171231,대성파인텍,48816236639.0,87555780356.0,1341252167.0,38739543717.0,22098979037.0,32299976397.0,6465812763.0,,12456255180.0,,,,,,,,,,,
20191231,대한과학,32798304194.0,44443512724.0,,11645208530.0,8651062378.0,27992197545.0,15350369034.0,,4796095477.0,5333074745.0,,,,,,,,,,
20181231,대한과학,29415686946.0,39034817944.0,,9619130998.0,7482411826.0,25053652139.0,13901452491.0,,5046219413.0,4898651458.0,,,,,,,,,,
20171231,대한과학,26028549676.0,36895656184.0,,10867106508.0,8699167336.0,23232324900.0,13815929538.0,,5588145457.0,4796013343.0,,,,,,,,,,
20191231,동국산업,529831767794.0,752912818297.0,57420594232.0,223081050503.0,170872142682.0,376552375601.0,165710722262.0,,115157947549.0,,,,,,,,,,,
20181231,동국산업,521099723205.0,781595349043.0,64238489042.0,260495625838.0,190866542124.0,363994064871.0,161967079306.0,,121601154463.0,,,,,,,,,,,
20171231,동국산업,524987248746.0,827026978949.0,69725856178.0,302039730203.0,223106224367.0,404347381255.0,156178774077.0,,106395470039.0,,,,,,,,,,,
20191231,로보스타,96414938535.0,166636025953.0,,70221087418.0,64727832662.0,126020976615.0,24272459561.0,,67968915913.0,57382128509.0,,,8864920365.0,,,,,,,
20181231,로보스타,102770849200.0,171513400907.0,,68742551707.0,65381827530.0,130056361116.0,26732392754.0,,51882954355.0,55078609128.0,,,8987763552.0,,,,,,,
20171231,로보스타,50260271668.0,130234776235.0,,79974504567.0,69538191380.0,90816193352.0,32407283592.0,,40610310150.0,57779162129.0,,,6815475754.0,,,,,,,
20191231,로체시스템즈,65371637616.0,120035002237.0,,54663364621.0,27134512055.0,55954161504.0,13193119561.0,,,,,,,15447238820.0,27612163823.0,,,,,
20181231,로체시스템즈,64570164023.0,94517974128.0,,29947810105.0,13032051714.0,52178669172.0,14612543115.0,,,,,,,5922265497.0,11495533729.0,,,,,
20171231,로체시스템즈,67296344590.0,85124180405.0,,17827835815.0,15495862821.0,55048030735.0,16935067270.0,,,,,,,7681467221.0,11891303892.0,,,,,
20191231,메디톡스,262680764325.0,421529503965.0,,158848739640.0,136347752994.0,120029581705.0,29332108117.0,,,,,,,,,,,,,
20181231,메디톡스,257241639872.0,395014965909.0,,137773326037.0,110815703919.0,116431673406.0,21510965453.0,,,,,,,,,,,,,
20171231,메디톡스,196525985189.0,380945209080.0,,184419223891.0,137389118578.0,103154147912.0,11609096023.0,,,,,,,,,,,,,
20191231,멜파스,30099605151.0,79763075525.0,,49663470374.0,49391490374.0,17603430042.0,7560541312.0,,4522435133.0,,,,,,,,,,,
20181231,멜파스,37783850597.0,85345225436.0,,47561374839.0,47474374839.0,14450429183.0,2536203729.0,,4829039644.0,,,,,,,,,,,
20171231,멜파스,69136813345.0,120391705056.0,,51254891711.0,51145146933.0,41564647101.0,4814293723.0,,4593988665.0,,,,,,,,,,,
20191231,명성티엔에스,38250153597.0,66256203865.0,,28006050268.0,25743128061.0,38207439387.0,15489115612.0,,,,,,,,,,,,,
20181231,명성티엔에스,37740962674.0,65625538347.0,,27884575673.0,15691479461.0,36633281531.0,23794825044.0,,,,,,,,,,,,,
20171231,명성티엔에스,13955959332.0,45090396455.0,,31134437123.0,17534218416.0,23052033719.0,591484110.0,,,,,,,,,,,,,
20191231,미래생명자원,29660968461.0,38518767792.0,,8857799331.0,8585611619.0,26639404526.0,2686529021.0,,9520810588.0,3586415514.0,,,,,,,,,,
20181231,미래생명자원,28422516094.0,34085139652.0,,5662623558.0,5606623558.0,22373898061.0,3380583833.0,,7298259229.0,1184923483.0,,,,,,,,,,
20171231,미래생명자원,24663634803.0,30960327664.0,,6296692861.0,4809936177.0,24849220438.0,2968213425.0,,5291766072.0,1560205131.0,,,,,,,,,,
20191231,미코,168787395188.0,404978177732.0,,236190782544.0,107410052061.0,168047918728.0,18729353757.0,,,,,,,,,,,,,
20181231,미코,148380626414.0,332053845778.0,,183673219364.0,69065993508.0,158247633185.0,16589550965.0,,,,,,,,,,,,,
20171231,미코,116850457302.0,202082377532.0,,85231920230.0,57365398282.0,91025782659.0,11752402722.0,,,,,,,,,,,,,
20191231,바른테크놀로지,22844122121.0,63139837125.0,,40295715004.0,36140359855.0,39307760743.0,505706027.0,,6875210076.0,4822290176.0,,,,,,,,,,
20181231,바른테크놀로지,10729216143.0,28431748222.0,,17702532079.0,14986294353.0,17301470442.0,571472622.0,,6780655377.0,4677580584.0,,,,,,,,,,
20171231,바른테크놀로지,13552174618.0,28950503311.0,,15398328693.0,13555843832.0,14949942190.0,188667580.0,,5868056400.0,3938635846.0,,,,,,,,,,
20191231,베셀,19497097740.0,86241040277.0,,66743942537.0,62063213917.0,58913694257.0,22032110479.0,,,7843970202.0,,,,,,27422963964.0,,,,
20181231,베셀,30541684761.0,85246112793.0,,54704428032.0,41248142368.0,56380519013.0,24264756388.0,,,5024789368.0,,,,,,26851633211.0,,,,
20171231,베셀,45268384251.0,97668551274.0,,52400167023.0,43467903068.0,66830620921.0,,,,14611240471.0,,,,,,45421934903.0,,,,
20191231,비아트론,132701817929.0,149710472221.0,,17008654292.0,15801368876.0,92029539829.0,1572209750.0,,2246612492.0,1786900826.0,,,,,,,,,,
20181231,비아트론,129252708600.0,155072728070.0,,25820019470.0,24621738178.0,125242523702.0,8517080162.0,,3242709908.0,5801561537.0,,,,,,,,,,
20171231,비아트론,108483512539.0,139163927615.0,,30680415076.0,29672556492.0,113399274468.0,62304141.0,,5763562608.0,15832166896.0,,,,,,,,,,
20191231,삼강엠앤티,195778852698.0,627931343574.0,,432152490876.0,304319416012.0,142046985512.0,17971252264.0,,31431234918.0,73239429507.0,,,,,,,,,,
20181231,삼강엠앤티,225691597460.0,538058343411.0,,312366745951.0,157932789696.0,55177112811.0,8445657914.0,,16322586760.0,25483642361.0,,,,,,,,,,
20171231,삼강엠앤티,249405758637.0,530463582518.0,,281057823881.0,157354137712.0,59797655001.0,826263151.0,,30662312201.0,18597047016.0,,,,,,,,,,
20191231,상상인인더스트리,24665122872.0,47833180261.0,,23168057389.0,17264221342.0,21906511716.0,6885347038.0,,7618700466.0,7880588570.0,,,,,,,,,,
20181231,상상인인더스트리,28735627333.0,69726125498.0,,40990498165.0,32813368101.0,42236780053.0,6498458354.0,,2471656646.0,3860667533.0,,,,,,,,,,
20171231,상상인인더스트리,57398613500.0,168270389562.0,,110871776062.0,108163412241.0,38289162664.0,12704892571.0,,6818346558.0,11736204702.0,,,,,,,,,,
20191231,서플러스글로벌,125022911930.0,178822582868.0,,53799670938.0,31106297995.0,125784277383.0,98709584431.0,,1788314188.0,1509021599.0,,,,,,,,,,
20181231,서플러스글로벌,125377126066.0,182797720286.0,,57420594220.0,48199877895.0,141258375128.0,108734164566.0,,3548255626.0,1228669990.0,,,,,,,,,,
20171231,서플러스글로벌,110054887350.0,155283308015.0,,45228420665.0,32163781388.0,119227172382.0,78154372103.0,,1733682669.0,1125737745.0,,,,,,,,,,
20191231,성도이엔지,139056396782.0,519451891195.0,,380395494413.0,248041299823.0,365648151811.0,98244529637.0,,75525564612.0,74132422823.0,,,,,,,,,,
20181231,성도이엔지,201328855930.0,455461989514.0,,254133133584.0,231964949385.0,359369383688.0,92791284842.0,,74998816207.0,71681669065.0,,,,,,,,,,
20171231,성도이엔지,186976947970.0,328533570975.0,,141556623005.0,132425641289.0,260055736713.0,64937290240.0,,108661899495.0,53280962717.0,,,,,,,,,,
20191231,세경하이테크,138823824050.0,206426560617.0,,67602736567.0,57319868435.0,86723597108.0,14891193175.0,,,,,,,27228524002.0,35879773622.0,,,,,
20181231,세경하이테크,87977708147.0,148795144752.0,,60817436605.0,59177408590.0,86579201101.0,21281162069.0,,,,,,,51573828141.0,46975172660.0,,,,,
20171231,세경하이테크,49725265172.0,73428274283.0,,23703009111.0,19667030552.0,36409094556.0,8791668534.0,,,,,,,12609941279.0,10811137811.0,,,,,
20191231,슈펙스비앤피,55848971815.0,152329511059.0,1582484932.0,96480539244.0,44963784200.0,34099315363.0,3399865753.0,,,,,,,,,,,,,
20181231,슈펙스비앤피,54113473945.0,171434545177.0,4081624812.0,117321071232.0,54635401932.0,49115430053.0,8974593613.0,,,,,,,,,,,,,
20171231,슈펙스비앤피,47108071309.0,131715726881.0,10758818002.0,84607655572.0,72412642647.0,82988555212.0,19780314068.0,,,,,,,,,,300000000.0,,,
20191231,스킨앤스킨,37878841252.0,51689280652.0,,13810439400.0,11731310442.0,27208489817.0,2212685310.0,,,,,,,,,,,,,
20181231,스킨앤스킨,38104218267.0,57479951426.0,,19375733159.0,17307217931.0,30247035735.0,4902395430.0,,,,,,,,,,,,,
20171231,스킨앤스킨,23581339427.0,50212554643.0,,26631215216.0,24248728735.0,20856972359.0,3863846825.0,,,,,,,,,,,,,
20191231,아바코,130372631848.0,198606305595.0,,68233673747.0,62547341292.0,145115133968.0,77394302894.0,,,,,,,,,,10764523451.0,,,
20181231,아바코,119214461528.0,212793719592.0,,93579258064.0,90484819727.0,172596576337.0,106745754007.0,,,,,,,,,,,,,
20171231,아바코,104145088667.0,186316024594.0,,82170935927.0,74403459559.0,145144092919.0,2276944421.0,,,,,,,,,,,,,
20191231,아스트,218066884965.0,578756230211.0,,360689345246.0,145610092341.0,216549408356.0,152615809899.0,,21208238716.0,24570339944.0,,,,,,,2749726856.0,,,
20181231,아스트,120562648604.0,395053003556.0,,274490354952.0,107664618904.0,191498312495.0,110000096357.0,,45919069525.0,29508567023.0,,,,,,,24683224251.0,,,
20171231,아스트,115093134272.0,310505612044.0,,195412477772.0,101699134197.0,143166918162.0,71450996354.0,,26466666692.0,23735374460.0,,,,,,,23340056794.0,,,
20191231,아이씨디,147055395965.0,203772358055.0,,56716962090.0,47154563217.0,131397303916.0,58508655281.0,,44874880906.0,,,,,,,,,,,
20181231,아이씨디,131398547550.0,191224176544.0,,59825628994.0,46662982354.0,114191717827.0,34292653549.0,,60127162491.0,,,,,,,,,0.0,,
20171231,아이씨디,134140403751.0,236230285569.0,,102089881818.0,86333726899.0,155846082566.0,14331247801.0,,47307348661.0,,,,,,,,,154456926.0,,
20191231,아이원스,121978475715.0,242325796165.0,,120347320450.0,85582601978.0,67268569600.0,35073281864.0,,,,,,,,,,,,13253429294.0,13330225517.0
20181231,아이원스,126667825948.0,257165778334.0,,130497952386.0,90741345328.0,66689294030.0,40679357199.0,,,,,,,,,,,,18453434381.0,16214888550.0
20171231,아이원스,122194683334.0,248477637783.0,,126282954449.0,97872151502.0,68580456649.0,30525918809.0,,,,,,,,,,,,20856081935.0,18787362213.0
20191231,에스에프에이,1112065358390.0,1805907173232.0,,693841814842.0,665329115328.0,1098458551861.0,124393235018.0,,209987986154.0,,,,,,,,,,211427082458.0,
20181231,에스에프에이,1002987456038.0,1660531818144.0,,657544362106.0,404841569112.0,958567880938.0,75613959227.0,,167445544624.0,,,,,,,,,,157582275673.0,
20171231,에스에프에이,984854671719.0,1810808943335.0,,861069798296.0,540949050902.0,1133098145102.0,28526441714.0,,165169846902.0,,,,,,,,,,177243806554.0,
20191231,에이프런티어,23613486310.0,101158754367.0,,77545268057.0,69669698739.0,83779224973.0,8464658838.0,,,5886883934.0,,,,,4185853897.0,,,,,
20181231,에이프런티어,28352404316.0,33992406044.0,,5640001728.0,5640001728.0,29054282453.0,6689586290.0,,,3207642388.0,,,,,2551764054.0,,,,,
20171231,에이프런티어,25849489875.0,32949811650.0,,7100321775.0,6026321775.0,28828649342.0,7389027816.0,,,4037115091.0,,,,,3282370119.0,,,,,
20191231,엔피케이,40316380816.0,76532515918.0,,36216135102.0,13184409459.0,25775431226.0,3454215696.0,,7373312303.0,5729989294.0,,,,,,,,,,
