date,company,매출총이익,법인세비용차감전순이익(손실),당기순이익(손실),법인세비용차감전순이익,당기순이익,당기순이익의 귀속,법인세비용차감전순손실,당기순이익(손실).,계속영업당기순이익,중단영업당기순이익
20191231,AP시스템,72622039976.0,12402291609.0,9451469310.0,,,,,,,
20181231,AP시스템,101171251514.0,27943908986.0,25227011908.0,,,,,,,
20171231,AP시스템,62076108001.0,26316191703.0,19088064733.0,,,,,,,
20191231,DMS,65300086704.0,21544765028.0,17236232679.0,,,,,,,
20181231,DMS,75967702026.0,21868026243.0,15184128518.0,,,,,,,
20171231,DMS,61208001998.0,4835649098.0,3857602202.0,,,,,,,
20191231,HRS,9322633707.0,,,1092375329.0,982759631.0,,,,,
20181231,HRS,12530099460.0,,,-9625003170.0,-7481797843.0,,,,,
20171231,HRS,15194350699.0,,,7943504959.0,6287854808.0,,,,,
20191231,ITX엠투엠,4942278249.0,,-5005679235.0,,,,-5005679235.0,,,
20181231,ITX엠투엠,4681368810.0,,-1917861409.0,,,,-1917861409.0,,,
20171231,ITX엠투엠,8318806459.0,,-337113556.0,,,,-337113556.0,,,
20191231,SGA,16251524737.0,-29082118459.0,-30354499317.0,,,,,,,
20181231,SGA,16251573373.0,-15167792417.0,-14341575045.0,,,,,,,
20171231,SGA,24189006614.0,-17163753103.0,-17768449236.0,,,,,,,
20191231,SM Life Design,,,-3025656762.0,,,,,,,
20181231,SM Life Design,,,-2016464895.0,,,,,,,
20171231,SM Life Design,,,753041623.0,,,,,,,
20191231,노바렉스,28615324334.0,,,17014606885.0,14506483467.0,,,,,
20181231,노바렉스,20664840608.0,,,11487307678.0,9151951301.0,,,,,
20171231,노바렉스,17033389743.0,,,9557235778.0,7952555271.0,,,,,
20191231,대성엘텍,7163935274.0,-10389350072.0,,,,,,,,
20181231,대성엘텍,11559764939.0,-2534837695.0,,,,,,,,
20171231,대성엘텍,14947679994.0,-2977209606.0,,,,,,,,
20191231,대성파인텍,4738700197.0,36457744.0,1319994660.0,,,,,,,
20181231,대성파인텍,6019667989.0,3173648624.0,2982309210.0,,,,,,,
20171231,대성파인텍,8623987453.0,2815862012.0,2137707649.0,,,,,,,
20191231,대한과학,13992829580.0,2392916114.0,1949876633.0,,,,,,,
20181231,대한과학,12592836759.0,3011393315.0,2516974858.0,,,,,,,
20171231,대한과학,11809200498.0,1661916207.0,1346157192.0,,,,,,,
20191231,대한그린파워,-2596657579.0,-9620144126.0,-9871211022.0,,,,,,,
20181231,대한그린파워,-1993435938.0,-12736746109.0,-13331757750.0,,,,,,,
20171231,대한그린파워,-2675794295.0,-6982064726.0,-7861629251.0,,,,,,,
20191231,동국산업,,,18083886051.0,,,,,,,
20181231,동국산업,,,2038893006.0,,,,,,,
20171231,동국산업,,,22799815323.0,,,,,,,
20191231,로보스타,13936266510.0,,,-4120891279.0,,,,,,
20181231,로보스타,21400996703.0,,,2776427532.0,,,,,,
20171231,로보스타,29978061957.0,,,8333739270.0,,,,,,
20191231,로체시스템즈,14655576748.0,3940782288.0,1196798916.0,,,,,,,
20181231,로체시스템즈,7826475873.0,-1827327131.0,-1358814351.0,,,,,,,
20171231,로체시스템즈,23163490720.0,3756558566.0,3317235243.0,,,,,,,
20191231,메디톡스,136370349140.0,25149968451.0,25563082881.0,,,,,,,
20181231,메디톡스,151206884234.0,85099485013.0,69765654196.0,,,,,,,
20171231,메디톡스,146647432432.0,85247217489.0,69993572739.0,,,,,,,
20191231,멜파스,12276336436.0,-11767230008.0,-11767230008.0,,,,,,,
20181231,멜파스,-1156946291.0,-19062502874.0,-30899900922.0,,,,,,,
20171231,멜파스,-11017829473.0,-32835496068.0,-30393134770.0,,,,,,,
20191231,명성티엔에스,6912545346.0,726559696.0,504333074.0,,,,,,,
20181231,명성티엔에스,7136561321.0,2109496856.0,1739631468.0,,,,,,,
20171231,명성티엔에스,13596847207.0,7046543273.0,5862080674.0,,,,,,,
20191231,미래생명자원,6332371219.0,,,1250135592.0,1029761329.0,,,,,
20181231,미래생명자원,6234103129.0,,,1890738725.0,1776466947.0,,,,,
20171231,미래생명자원,6085742854.0,,,-1396114857.0,-2000527895.0,,,,,
20191231,미코,109341775307.0,28735772078.0,21975621284.0,,,,,,,
20181231,미코,105748790846.0,39440097334.0,32320309579.0,,,,,,,
20171231,미코,83861242956.0,25497900832.0,19070363575.0,,,,,,,
20191231,바른테크놀로지,14613202928.0,-6421201259.0,-6421201259.0,,,,,,,
20181231,바른테크놀로지,5305106680.0,-5120760027.0,-5120760027.0,,,,,,,
20171231,바른테크놀로지,4037769961.0,-3352682062.0,-3352682062.0,,,,,,,
20191231,바이오스마트,56232214035.0,27669159921.0,19891299142.0,,,,,,,
20181231,바이오스마트,42886649136.0,7650096512.0,4790078153.0,,,,,,,
20171231,바이오스마트,21555766363.0,6733871971.0,4106165656.0,,,,,,,
20191231,베셀,6117162579.0,-10201501440.0,-11046723735.0,,,,,,,
20181231,베셀,19251421688.0,1196327586.0,1281373396.0,,,,,,,
20171231,베셀,22875609772.0,5269789645.0,5012832402.0,,,,,,,
20191231,비아트론,11986237756.0,7169288294.0,4800282360.0,,,,,,,
20181231,비아트론,37024300913.0,31254597821.0,24483831582.0,,,,,,,
20171231,비아트론,29567449830.0,15073195012.0,12171345266.0,,,,,,,
20191231,삼강엠앤티,-4459403095.0,-36804835892.0,-37129796614.0,,,,,,,
20181231,삼강엠앤티,-21637999953.0,-60616899941.0,-60181098972.0,,,,,,,
20171231,삼강엠앤티,-6701689856.0,81268169441.0,96254150620.0,,,,,,,
20191231,상상인인더스트리,,,-11590322333.0,,,,,,,
20181231,상상인인더스트리,,,-122952364187.0,,,,,,,
20171231,상상인인더스트리,,,-11025574330.0,,,,,,,
20191231,서플러스글로벌,19129080404.0,,,2234718901.0,1535959985.0,,,,,
20181231,서플러스글로벌,42698519071.0,,,26309701881.0,20430948671.0,,,,,
20171231,서플러스글로벌,38031029778.0,,,25420461100.0,19867044909.0,,,,,
20191231,성도이엔지,39712925011.0,-83207314057.0,-65568396893.0,,,,,,,
20181231,성도이엔지,41595640259.0,20373329514.0,17317303079.0,,,,,,,
20171231,성도이엔지,41255812418.0,29044366860.0,21235465167.0,,,,,,,
20191231,세경하이테크,53833331071.0,26732922297.0,,,,,,21123931735.0,,
20181231,세경하이테크,59207533919.0,38119547693.0,,,,,,31796978590.0,,
20171231,세경하이테크,12481002303.0,-3441502651.0,,,,,,-2715106710.0,,
20191231,세운메디칼,27427559613.0,,,17231010311.0,9978657014.0,,,,,
20181231,세운메디칼,28346091859.0,,,18426424596.0,10075162546.0,,,,,
20171231,세운메디칼,23588824503.0,,,12744848093.0,9306121844.0,,,,,
20191231,슈펙스비앤피,17634552142.0,-24818511632.0,-24929147432.0,,,,,,,
20181231,슈펙스비앤피,11707469433.0,-17434471118.0,-17434471118.0,,,,,,,
20171231,슈펙스비앤피,12826437698.0,-25296949573.0,-23768813061.0,,,,,,,
20191231,스킨앤스킨,2191901494.0,-8131417812.0,-6314553492.0,,,,,,,
20181231,스킨앤스킨,3718287215.0,-13446212800.0,-13362031645.0,,,,,,,
20171231,스킨앤스킨,4365597001.0,-13368361395.0,-18673168828.0,,,,,,,
20191231,아바코,49372529830.0,24919988786.0,19587872900.0,,,,,,,
20181231,아바코,37264599998.0,31373095095.0,25522771496.0,,,,,,,
20171231,아바코,22924457574.0,491238273.0,-1816576765.0,,,,,,,
20191231,아스트,,,499295013.0,,,,,,,
20181231,아스트,,,4440459961.0,,,,,,,
20171231,아스트,,,1466069112.0,,,,,,,
20191231,아이씨디,34348829507.0,16021982194.0,11151768378.0,,,,,,,
20181231,아이씨디,58254420873.0,34198342522.0,29833627101.0,,,,,,,
20171231,아이씨디,55723101320.0,28750836635.0,24491202829.0,,,,,,,
20191231,아이원스,27514862274.0,-6168327597.0,-3317375884.0,,,,,,,
20181231,아이원스,48698852370.0,4810485998.0,5339651105.0,,,,,,,
