date,company,자본총계,자산총계,매입채무 및 기타유동채무,매출채권 및 기타유동채권,부채총계,유동부채,유동자산,재고자산
20191231,DMS,166005674664.0,302514623836.0,32096890971.0,26620302586.0,136508949172.0,135345962490.0,134517297914.0,14498465305.0
20181231,DMS,151479426195.0,317314698057.0,39977684190.0,47088416662.0,165835271862.0,162426446113.0,159939971787.0,14616273960.0
20171231,DMS,135202873362.0,298505199522.0,69184418522.0,25987507374.0,163302326160.0,146972021897.0,149549936171.0,17969335446.0
20191231,SGA,38180144932.0,100397309576.0,18995167756.0,19748688241.0,62217164644.0,56031358178.0,40092142943.0,3037803693.0
20181231,SGA,68827310603.0,132956451118.0,20527160409.0,34032856006.0,64129140515.0,40498391054.0,72299333082.0,8000743477.0
20171231,SGA,78939336234.0,147318939743.0,26793245616.0,47424205868.0,68379603509.0,36894397389.0,81394442916.0,11783790589.0
20191231,메디톡스,262680764325.0,421529503965.0,24996604550.0,61270483065.0,158848739640.0,136347752994.0,120029581705.0,29332108117.0
20181231,메디톡스,257241639872.0,395014965909.0,9653147639.0,67356314464.0,137773326037.0,110815703919.0,116431673406.0,21510965453.0
20171231,메디톡스,196525985189.0,380945209080.0,10974877525.0,56003260656.0,184419223891.0,137389118578.0,103154147912.0,11609096023.0
20191231,명성티엔에스,38250153597.0,66256203865.0,3206398527.0,11354382837.0,28006050268.0,25743128061.0,38207439387.0,15489115612.0
20181231,명성티엔에스,37740962674.0,65625538347.0,5279741388.0,3721119311.0,27884575673.0,15691479461.0,36633281531.0,23794825044.0
20171231,명성티엔에스,13955959332.0,45090396455.0,10314723909.0,20117537822.0,31134437123.0,17534218416.0,23052033719.0,591484110.0
20191231,미코,168787395188.0,404978177732.0,20188612912.0,34385502727.0,236190782544.0,107410052061.0,168047918728.0,18729353757.0
20181231,미코,148380626414.0,332053845778.0,15895391630.0,31402770080.0,183673219364.0,69065993508.0,158247633185.0,16589550965.0
20171231,미코,116850457302.0,202082377532.0,15122672452.0,25737497830.0,85231920230.0,57365398282.0,91025782659.0,11752402722.0
20191231,슈펙스비앤피,55848971815.0,152329511059.0,42035488317.0,9570505201.0,96480539244.0,44963784200.0,34099315363.0,3399865753.0
20181231,슈펙스비앤피,54113473945.0,171434545177.0,52882935450.0,10694623392.0,117321071232.0,54635401932.0,49115430053.0,8974593613.0
20171231,슈펙스비앤피,47108071309.0,131715726881.0,72412642647.0,30627430343.0,84607655572.0,72412642647.0,82988555212.0,19780314068.0
20191231,아바코,130372631848.0,198606305595.0,31147709258.0,30332967477.0,68233673747.0,62547341292.0,145115133968.0,77394302894.0
20181231,아바코,119214461528.0,212793719592.0,42297157359.0,44470091231.0,93579258064.0,90484819727.0,172596576337.0,106745754007.0
20171231,아바코,104145088667.0,186316024594.0,59277266365.0,66115932885.0,82170935927.0,74403459559.0,145144092919.0,2276944421.0
20191231,와이엔텍,134763106927.0,242863497533.0,3338100842.0,8865238959.0,108100390606.0,58617545781.0,33118989958.0,111730111.0
20181231,와이엔텍,116581785987.0,209132059551.0,2759756691.0,7026042873.0,92550273564.0,41616114061.0,22122490957.0,96655013.0
20171231,와이엔텍,107554175898.0,188271346930.0,2650151064.0,8624934519.0,80717171032.0,35603057405.0,17694788876.0,81154295.0
20191231,원익IPS,566554136000.0,899161666256.0,85672003724.0,127061671611.0,332607530256.0,327047469524.0,552974783891.0,322203787596.0
20181231,원익IPS,369216477149.0,512346016162.0,46976189098.0,35791810647.0,143129539013.0,123966746925.0,331715602680.0,184483394045.0
20171231,원익IPS,313468391500.0,409618120681.0,49655972052.0,51000946595.0,96149729181.0,81536939874.0,280069098878.0,109839755424.0
