"[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_Revenue,수익(매출액),Revenue(Sales),포괄손익계산서 [abstract],수익(매출액),,,236170141901.0,227421583485.0,183916090332.0
ifrs-full_CostOfSales,매출원가,Cost of sales,포괄손익계산서 [abstract],매출원가,,,126828366594.0,121672792639.0,100054847376.0
ifrs-full_GrossProfit,매출총이익,Gross profit,포괄손익계산서 [abstract],매출총이익,,,109341775307.0,105748790846.0,83861242956.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,포괄손익계산서 [abstract],판매비와관리비,,,71103349830.0,60386074836.0,54751684281.0
dart_OperatingIncomeLoss,영업이익(손실),Operating income(loss),포괄손익계산서 [abstract],영업이익(손실),,,38238425477.0,45362716010.0,29109558675.0
ifrs-full_FinanceIncome,금융수익,Finance income,포괄손익계산서 [abstract],금융수익,,,6204464768.0,2827629815.0,1724786753.0
ifrs-full_FinanceCosts,금융원가,Finance costs,포괄손익계산서 [abstract],금융원가,,,10050540547.0,6569112785.0,4832170158.0
dart_OtherGains,기타이익,Other gains,포괄손익계산서 [abstract],기타이익,,,1222259781.0,893633759.0,5314751388.0
dart_OtherLosses,기타손실,Other losses,포괄손익계산서 [abstract],기타손실,,,3394478530.0,712029498.0,3005061685.0
entity00366942_udf_IS_2019111292231299_StatementOfComprehensiveIncomeAbstract,관계기업투자손익,Earnings and losses on investment in associates,포괄손익계산서 [abstract],관계기업투자손익,,,-3484358871.0,-2362739967.0,-2813964141.0
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익(손실),Profit (loss) before tax,포괄손익계산서 [abstract],법인세비용차감전순이익(손실),,,28735772078.0,39440097334.0,25497900832.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,Income tax expense,포괄손익계산서 [abstract],법인세비용,,,6760150794.0,7119787755.0,6427537257.0
