"[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)",20110101-20111231,20100101-20101231
concept_id,label_ko,label_en,class0,class1,class2,"('연결재무제표',)","('연결재무제표',)"
ifrs_Revenue,수익,Revenue(Sales),포괄손익계산서 [abstract],수익,,168774432034.0,135457801011.0
ifrs_CostOfSales,매출원가,Cost of sales,포괄손익계산서 [abstract],매출원가,,168182524886.0,122013324798.0
ifrs_GrossProfit,매출총이익,Gross profit,포괄손익계산서 [abstract],매출총이익,,591907148.0,13444476213.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비,Selling expenses                                                         ,포괄손익계산서 [abstract],판매비,,1815241622.0,1775374321.0
ifrs_AdministrativeExpense,관리비,Administrative expenses,포괄손익계산서 [abstract],관리비,,6026653687.0,7994725776.0
entity00579379_udf_IS_2012315105433819_StatementOfComprehensiveIncomeAbstract,경상개발비,Ordinary development expenses,포괄손익계산서 [abstract],경상개발비,,171133410.0,43282720.0
ifrs_OtherIncome,기타수익,Other income,포괄손익계산서 [abstract],기타수익,,482096642.0,165800919.0
ifrs_OtherExpenseByFunction,기타비용(기능별),"Other expense, by function",포괄손익계산서 [abstract],기타비용(기능별),,2491641743.0,38621128.0
dart_OperatingIncomeLoss,영업이익(손실),Operating Income(Loss)                                                                              ,포괄손익계산서 [abstract],영업이익(손실),,-9430666672.0,3758273187.0
ifrs_FinanceIncome,금융수익,Finance income,포괄손익계산서 [abstract],금융수익,,217776824.0,224513960.0
ifrs_FinanceCosts,금융원가,Finance costs,포괄손익계산서 [abstract],금융원가,,4296545524.0,1909781314.0
ifrs_ProfitLossBeforeTax,법인세비용차감전순이익(손실),Profit (loss) before tax,포괄손익계산서 [abstract],법인세비용차감전순이익(손실),,-13509435372.0,2073005833.0
ifrs_IncomeTaxExpenseContinuingOperations,법인세비용,Income tax expense,포괄손익계산서 [abstract],법인세비용,,2248563193.0,553698544.0
ifrs_ProfitLoss,당기순이익(손실),Profit (loss),포괄손익계산서 [abstract],당기순이익(손실),,-11260872179.0,1519307289.0
ifrs_ProfitLossAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 당기순이익(손실),"Profit (loss), attributable to owners of parent",포괄손익계산서 [abstract],당기순이익(손실)의 귀속 [abstract],지배기업의 소유주에게 귀속되는 당기순이익(손실),-11260872179.0,1519307289.0
ifrs_ProfitLossAttributableToNoncontrollingInterests,비지배지분에 귀속되는 당기순이익(손실),"Profit (loss), attributable to non-controlling interests",포괄손익계산서 [abstract],당기순이익(손실)의 귀속 [abstract],비지배지분에 귀속되는 당기순이익(손실),0.0,0.0
ifrs_OtherComprehensiveIncome,기타포괄손익,Other comprehensive income,포괄손익계산서 [abstract],기타포괄손익,,329058567.0,-195836837.0
entity00579379_udf_IS_201231417054880_OtherComprehensiveIncome,보험수리적이익(손실),"Other comprehensive income, net of tax, actuarial gains (losses) on ",포괄손익계산서 [abstract],기타포괄손익,보험수리적이익(손실),421869956.0,-251072867.0
entity00579379_udf_IS_2012314171584_OtherComprehensiveIncome,기타포괄손익법인세효과,NEWAccount for Other comprehensive income (2),포괄손익계산서 [abstract],기타포괄손익,기타포괄손익법인세효과,-92811389.0,55236030.0
ifrs_ComprehensiveIncome,총포괄손익,Total comprehensive income,포괄손익계산서 [abstract],총포괄손익,,-10931813612.0,1323470452.0
ifrs_ComprehensiveIncomeAttributableToOwnersOfParent,"포괄손익, 지배기업의 소유주에게 귀속되는 지분","Comprehensive income, attributable to owners of parent",포괄손익계산서 [abstract],포괄손익의 귀속 [abstract],"포괄손익, 지배기업의 소유주에게 귀속되는 지분",-10931813612.0,1323470452.0
ifrs_ComprehensiveIncomeAttributableToNoncontrollingInterests,"포괄손익, 비지배지분","Comprehensive income, attributable to non-controlling interests",포괄손익계산서 [abstract],포괄손익의 귀속 [abstract],"포괄손익, 비지배지분",0.0,0.0
ifrs_BasicEarningsLossPerShare,기본주당이익(손실),Basic earnings (loss) per share,포괄손익계산서 [abstract],주당이익 [abstract],기본주당이익(손실),-1672.0,229.0
