"[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)",20110101-20111231,20100101-20101231
concept_id,label_ko,label_en,class0,class1,class2,"('연결재무제표',)","('연결재무제표',)"
ifrs_Revenue,수익,Revenue(Sales),포괄손익계산서 [abstract],수익,,81567060964.0,102325981917.0
ifrs_CostOfSales,매출원가,Cost of sales,포괄손익계산서 [abstract],매출원가,,73056723918.0,94625046499.0
ifrs_GrossProfit,매출총이익,Gross profit,포괄손익계산서 [abstract],매출총이익,,8510337046.0,7700935418.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses                                                         ,포괄손익계산서 [abstract],판매비와관리비,,5065406425.0,9233609836.0
dart_OperatingIncomeLoss,영업이익(손실),Operating Income(Loss)                                                                              ,포괄손익계산서 [abstract],영업이익(손실),,3444930621.0,-1532674418.0
ifrs_OtherGainsLosses,기타수익,Other income,포괄손익계산서 [abstract],기타수익,,3330603897.0,1857924763.0
entity00122436_udf_IS_2012327141313922_StatementOfComprehensiveIncomeAbstract,기타비용,Other expense,포괄손익계산서 [abstract],기타비용,,2058192368.0,1751015242.0
ifrs_FinanceIncome,금융수익,Finance income,포괄손익계산서 [abstract],금융수익,,198325041.0,100126194.0
ifrs_FinanceCosts,금융원가,Finance costs,포괄손익계산서 [abstract],금융원가,,4539426603.0,4156786100.0
ifrs_ProfitLossBeforeTax,법인세비용차감전순이익(손실),Profit (oss) before tax,포괄손익계산서 [abstract],법인세비용차감전순이익(손실),,376240588.0,-5482424803.0
ifrs_IncomeTaxExpenseContinuingOperations,법인세비용,Income tax expense,포괄손익계산서 [abstract],법인세비용,,-251540612.0,-237142722.0
ifrs_ProfitLoss,당기순이익(손실),Profit (loss),포괄손익계산서 [abstract],당기순이익(손실),,627781200.0,-5245282081.0
entity00122436_udf_IS_2012326205059256_ProfitLoss,지배기업의 소유주에게 귀속되는 당기순이익(손실),"Profit (loss), attributable to owners of parent",포괄손익계산서 [abstract],당기순이익(손실),지배기업의 소유주에게 귀속되는 당기순이익(손실),627781200.0,-5245282081.0
entity00122436_udf_IS_2012326205233463_ProfitLoss,비지배지분에 귀속되는 당기순이익(손실),"Profit (loss), attributable to non-controlling interests",포괄손익계산서 [abstract],당기순이익(손실),비지배지분에 귀속되는 당기순이익(손실),0.0,0.0
ifrs_OtherComprehensiveIncome,연결기타포괄손익,Other comprehensive income,포괄손익계산서 [abstract],연결기타포괄손익,,1720221602.0,378372976.0
entity00122436_udf_IS_2012326203736912_OtherComprehensiveIncome,해외사업환산손익,"Other comprehensive income, net of tax, exchange differences on translation",포괄손익계산서 [abstract],연결기타포괄손익,해외사업환산손익,1769414358.0,456954301.0
ifrs_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,보험수리적손익,"Other comprehensive income, net of tax, actuarial gains (losses) on defined benefit plansaccounted for using equity method",포괄손익계산서 [abstract],연결기타포괄손익,보험수리적손익,-49192756.0,-78581325.0
entity00122436_udf_IS_201232620541465_StatementOfComprehensiveIncomeAbstract,연결당기총포괄이익,Comprehensive income,포괄손익계산서 [abstract],연결당기총포괄이익,,2348002802.0,-4866909105.0
entity00122436_udf_IS_201232620554248_udf_IS_201232620541465_StatementOfComprehensiveIncomeAbstract,"포괄손익, 지배기업의 소유주에게 귀속되는 지분","Comprehensive income, attributable to owners of parent",포괄손익계산서 [abstract],연결당기총포괄이익,"포괄손익, 지배기업의 소유주에게 귀속되는 지분",2348002802.0,-4866909105.0
entity00122436_udf_IS_2012326205518631_udf_IS_201232620541465_StatementOfComprehensiveIncomeAbstract,"포괄손익, 비지배지분","Comprehensive income, attributable to non-controlling interests",포괄손익계산서 [abstract],연결당기총포괄이익,"포괄손익, 비지배지분",0.0,0.0
entity00122436_udf_IS_2012326204122384_StatementOfComprehensiveIncomeAbstract,기본주당이익(손실),Basic earnings (loss) per share,포괄손익계산서 [abstract],기본주당이익(손실),,7.0,-79.0
