"[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)","[D431410] Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_Revenue,매출액,Revenue(Sales),포괄손익계산서 [abstract],매출액,,,12690903987.0,26187470807.0,14262299673.0
ifrs-full_CostOfSales,매출원가,Cost of sales,포괄손익계산서 [abstract],매출원가,,,12607067912.0,24916951370.0,15083677830.0
ifrs-full_GrossProfit,매출총이익,Gross profit,포괄손익계산서 [abstract],매출총이익,,,83836075.0,1270519437.0,-821378157.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,포괄손익계산서 [abstract],판매비와관리비,,,3863460724.0,5214421708.0,6019047667.0
dart_OperatingIncomeLoss,영업이익(손실),Operating income(loss),포괄손익계산서 [abstract],영업이익(손실),,,-3779624649.0,-3943902271.0,-6840425824.0
dart_OtherGains,영업외수익,Non-operating income,포괄손익계산서 [abstract],영업외수익,,,3976742997.0,1116468403.0,2140222096.0
dart_GainsOnValuationOfLongTermFinancialInstruments,금융수익,Finance income,포괄손익계산서 [abstract],영업외수익,금융수익,,1204645697.0,738307926.0,1249748914.0
dart_GainsOnSaleOfInvestmentsInAssociates,종속기업및관계기업이익,Gains on sale of investments in associates,포괄손익계산서 [abstract],영업외수익,종속기업및관계기업이익,,2401030418.0,11044142.0,750398099.0
dart_GainsOnDisposalsOfPropertyPlantAndEquipment,기타수익,Other gains,포괄손익계산서 [abstract],영업외수익,기타수익,,371066882.0,367116335.0,140075083.0
