[D410000] Statement of comprehensive income - Consolidated financial statements (Unit: KRW),[D410000] Statement of comprehensive income - Consolidated financial statements (Unit: KRW),[D410000] Statement of comprehensive income - Consolidated financial statements (Unit: KRW),[D410000] Statement of comprehensive income - Consolidated financial statements (Unit: KRW),[D410000] Statement of comprehensive income - Consolidated financial statements (Unit: KRW),[D410000] Statement of comprehensive income - Consolidated financial statements (Unit: KRW),[D410000] Statement of comprehensive income - Consolidated financial statements (Unit: KRW),20180101-20181231,20170101-20171231,20160101-20161231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs_ProfitLoss,당기순이익(손실),Profit (loss),포괄손익계산서 [abstract],당기순이익(손실),,,-10577608956.0,-21293120547.0,-8678103356.0
ifrs_OtherComprehensiveIncome,기타포괄손익,Other comprehensive income,포괄손익계산서 [abstract],기타포괄손익,,,-116696871.0,289766250.0,-239066888.0
dart_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,당기손익으로 재분류되지 않는항목(세후기타포괄손익),"Other comprehensive income that will not be reclassified to profit or loss, net of tax",포괄손익계산서 [abstract],기타포괄손익,당기손익으로 재분류되지 않는항목(세후기타포괄손익),,-44234539.0,128621408.0,-204754479.0
dart_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,순확정급여부채의 재측정요소,"Other comprehensive income, net of tax, gains (losses) on remeasurements of defined benefit plans",포괄손익계산서 [abstract],기타포괄손익,당기손익으로 재분류되지 않는항목(세후기타포괄손익),순확정급여부채의 재측정요소,-44234539.0,128621408.0,-204754479.0
dart_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),"Other comprehensive income that will be reclassified to profit or loss, net of tax",포괄손익계산서 [abstract],기타포괄손익,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),,-72462332.0,161144842.0,-34312409.0
ifrs_GainsLossesOnRemeasuringAvailableforsaleFinancialAssetsNetOfTax,매도가능금융자산평가손익(세후기타포괄손익),"Gains (losses) on remeasuring available-for-sale financial assets, net of tax",포괄손익계산서 [abstract],기타포괄손익,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),매도가능금융자산평가손익(세후기타포괄손익),,-5886999.0,5886999.0
ifrs_GainsLossesOnExchangeDifferencesOnTranslationNetOfTax,해외사업장환산외환차이(세후기타포괄손익),"Gains (losses) on exchange differences on translation, net of tax",포괄손익계산서 [abstract],기타포괄손익,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),해외사업장환산외환차이(세후기타포괄손익),-77471196.0,172622729.0,-40199408.0
entity00112819_udf_IS_2019328164449240_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,지분법자본변동,TEST,포괄손익계산서 [abstract],기타포괄손익,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),지분법자본변동,5008864.0,-5590888.0,
ifrs_ComprehensiveIncome,총포괄손익,Total comprehensive income,포괄손익계산서 [abstract],총포괄손익,,,-10694305827.0,-21003354297.0,-8917170244.0
ifrs_ComprehensiveIncomeAttributableToOwnersOfParent,"총 포괄손익, 지배기업의 소유주에게 귀속되는 지분","Comprehensive income, attributable to owners of parent",포괄손익계산서 [abstract],총 포괄손익의 귀속 [abstract],"총 포괄손익, 지배기업의 소유주에게 귀속되는 지분",,-10694305827.0,-21000552774.0,-8917170244.0
ifrs_ComprehensiveIncomeAttributableToNoncontrollingInterests,"총 포괄손익, 비지배지분","Comprehensive income, attributable to non-controlling interests",포괄손익계산서 [abstract],총 포괄손익의 귀속 [abstract],"총 포괄손익, 비지배지분",,,-2801523.0,
