[D410000] Statement of comprehensive income - Consolidated financial statements (Unit: KRW),[D410000] Statement of comprehensive income - Consolidated financial statements (Unit: KRW),[D410000] Statement of comprehensive income - Consolidated financial statements (Unit: KRW),[D410000] Statement of comprehensive income - Consolidated financial statements (Unit: KRW),[D410000] Statement of comprehensive income - Consolidated financial statements (Unit: KRW),[D410000] Statement of comprehensive income - Consolidated financial statements (Unit: KRW),[D410000] Statement of comprehensive income - Consolidated financial statements (Unit: KRW),20190101-20191231,20180101-20181231,20170101-20171231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),포괄손익계산서 [abstract],당기순이익(손실),,,-23800828887.0,-10577608956.0,-21293120547.0
ifrs-full_OtherComprehensiveIncome,기타포괄손익,Other comprehensive income,포괄손익계산서 [abstract],기타포괄손익,,,26056692.0,-116696871.0,289766250.0
dart_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,후속적으로 당기손익으로 재분류될 수 있는 항목,"Other comprehensive income that will be reclassified to profit or loss, net of tax",포괄손익계산서 [abstract],기타포괄손익,후속적으로 당기손익으로 재분류될 수 있는 항목,,-18254196.0,-72462332.0,161144842.0
ifrs-full_GainsLossesOnExchangeDifferencesOnTranslationNetOfTax,해외사업장환산외환차이,"Gains (losses) on exchange differences on translation, net of tax",포괄손익계산서 [abstract],기타포괄손익,후속적으로 당기손익으로 재분류될 수 있는 항목,해외사업장환산외환차이,-16573989.0,-77471196.0,172622729.0
entity00112819_udf_IS_2019328164449240_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,지분법자본변동,TEST,포괄손익계산서 [abstract],기타포괄손익,후속적으로 당기손익으로 재분류될 수 있는 항목,지분법자본변동,-1680207.0,5008864.0,-5590888.0
entity00112819_udf_IS_202031813295921_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,매도가능금융자산의 평가손익,Loss valuation available for sale financial assets,포괄손익계산서 [abstract],기타포괄손익,후속적으로 당기손익으로 재분류될 수 있는 항목,매도가능금융자산의 평가손익,,,-5886999.0
entity00112819_udf_IS_201981313731325_OtherComprehensiveIncome,후속적으로 당기손익으로 재분류되지 않는 항목,"NonOther comprehensive income that will be reclassified to profit or loss, net of tax",포괄손익계산서 [abstract],기타포괄손익,후속적으로 당기손익으로 재분류되지 않는 항목,,44310888.0,-44234539.0,128621408.0
entity00112819_udf_IS_2020318133248509_udf_IS_201981313731325_OtherComprehensiveIncome,순확정급여부채의 재측정요소,Remeasurement elements of Post-employment benefit obligations,포괄손익계산서 [abstract],기타포괄손익,후속적으로 당기손익으로 재분류되지 않는 항목,순확정급여부채의 재측정요소,43058338.0,-44234539.0,128621408.0
entity00112819_udf_IS_201981313739911_udf_IS_201981313731325_OtherComprehensiveIncome,기타포괄손익-공정가치 측정 금융자산평가이익,Non-current financial assets measured at fair value through other comprehensive income,포괄손익계산서 [abstract],기타포괄손익,후속적으로 당기손익으로 재분류되지 않는 항목,기타포괄손익-공정가치 측정 금융자산평가이익,1252550.0,,
ifrs-full_ComprehensiveIncome,당기총포괄손익,Total comprehensive income,포괄손익계산서 [abstract],당기총포괄손익,,,-23774772195.0,-10694305827.0,-21003354297.0
ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent,"총 포괄손익, 지배기업의 소유주에게 귀속되는 지분","Comprehensive income, attributable to owners of parent",포괄손익계산서 [abstract],총 포괄손익의 귀속 [abstract],"총 포괄손익, 지배기업의 소유주에게 귀속되는 지분",,-23774772195.0,-10694305827.0,-21000552774.0
ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests,"총 포괄손익, 비지배지분","Comprehensive income, attributable to non-controlling interests",포괄손익계산서 [abstract],총 포괄손익의 귀속 [abstract],"총 포괄손익, 비지배지분",,,,-2801523.0
