"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
concept_id,label_ko,label_en,class0,class1,class2,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,Cash flows from (used in) operating activities,현금흐름표 [abstract],영업활동현금흐름,,3925234103.0,-3981329365.0,-4036194678.0
dart_AdjustmentsForAssetsLiabilitiesOfOperatingActivities,영업에서 창출된 현금흐름,Adjustments for assets and liabilities of operating activities,현금흐름표 [abstract],영업활동현금흐름,영업에서 창출된 현금흐름,4561122125.0,-2884792757.0,-3973436200.0
ifrs-full_InterestReceivedClassifiedAsOperatingActivities,이자수취,Interest received,현금흐름표 [abstract],영업활동현금흐름,이자수취,78814656.0,99365306.0,68375541.0
ifrs-full_InterestPaidClassifiedAsOperatingActivities,이자지급,Interest paid,현금흐름표 [abstract],영업활동현금흐름,이자지급,735249986.0,1185352466.0,202602739.0
ifrs-full_DividendsReceivedClassifiedAsOperatingActivities,배당금수취(영업),Dividends received,현금흐름표 [abstract],영업활동현금흐름,배당금수취(영업),,,7636800.0
ifrs-full_IncomeTaxesPaidRefundClassifiedAsOperatingActivities,법인세의 환급(납부),Income taxes paid (refund),현금흐름표 [abstract],영업활동현금흐름,법인세의 환급(납부),-20547308.0,10549448.0,-63831920.0
ifrs-full_CashFlowsFromUsedInInvestingActivities,투자활동현금흐름,Cash flows from (used in) investing activities,현금흐름표 [abstract],투자활동현금흐름,,1034260374.0,-20667134764.0,-8771348149.0
dart_ProceedsFromSalesOfLongTermFinancialInstruments,장기금융상품의 감소,Decrease of sales of long-term financial instruments,현금흐름표 [abstract],투자활동현금흐름,장기금융상품의 감소,,,1000000.0
entity00112819_udf_CF_2020324142250109_CashFlowsFromUsedInInvestingActivities,단기금융상품의 감소,Decrease of Short-term deposits not classified as cash equivalents,현금흐름표 [abstract],투자활동현금흐름,단기금융상품의 감소,200000000.0,,
entity00112819_udf_CF_2020324143144983_CashFlowsFromUsedInInvestingActivities,기타채권의 대여,Adjustments for decrease (increase) and other receivables,현금흐름표 [abstract],투자활동현금흐름,기타채권의 대여,-80000000.0,-25368590713.0,
entity00112819_udf_CF_2020324143214773_CashFlowsFromUsedInInvestingActivities,기타채권의 회수,Adjustments for decrease and other receivables,현금흐름표 [abstract],투자활동현금흐름,기타채권의 회수,105000000.0,10425113106.0,
entity00112819_udf_CF_201989164125776_CashFlowsFromUsedInInvestingActivities,당기손익-공정가치 측정 금융자산의 처분,"Proceeds from Current financial assets at fair value through profit or loss, designated upon initial recognition or subsequently",현금흐름표 [abstract],투자활동현금흐름,당기손익-공정가치 측정 금융자산의 처분,22360800.0,3150000000.0,1696025275.0
entity00112819_udf_CF_201989164240367_CashFlowsFromUsedInInvestingActivities,당기손익-공정가치 측정 금융자산의 취득,"Purchase of Current financial assets at fair value through profit or loss, designated upon initial recognition or subsequently",현금흐름표 [abstract],투자활동현금흐름,당기손익-공정가치 측정 금융자산의 취득,,-4066547051.0,-10000000000.0
entity00112819_udf_CF_201989164331504_CashFlowsFromUsedInInvestingActivities,기타포괄손익-공정가치 측정 금융자산 처분,Non-current financial assets measured at fair value through other comprehensive,현금흐름표 [abstract],투자활동현금흐름,기타포괄손익-공정가치 측정 금융자산 처분,1537550.0,,
dart_PurchaseOfInvestmentProperty,투자부동산의 취득,Purchase of investment property,현금흐름표 [abstract],투자활동현금흐름,투자부동산의 취득,,7009131975.0,
ifrs-full_ProceedsFromSalesOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 처분,"Proceeds from sales of property, plant and equipment",현금흐름표 [abstract],투자활동현금흐름,유형자산의 처분,130000000.0,4545454.0,75454545.0
ifrs-full_PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 취득,"Purchase of property, plant and equipment",현금흐름표 [abstract],투자활동현금흐름,유형자산의 취득,488500000.0,1264816143.0,484596779.0
ifrs-full_PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities,무형자산의 취득,Purchase of intangible assets,현금흐름표 [abstract],투자활동현금흐름,무형자산의 취득,30328374.0,17856633.0,27304190.0
ifrs-full_ProceedsFromSalesOfIntangibleAssetsClassifiedAsInvestingActivities,무형자산의 처분,Proceeds from sales of intangible assets,현금흐름표 [abstract],투자활동현금흐름,무형자산의 처분,13928374.0,118000000.0,
dart_IncreaseInGuaranteeDeposits,임차보증금의 증가,Increase in guarantee deposits,현금흐름표 [abstract],투자활동현금흐름,임차보증금의 증가,1000000.0,,
dart_DecreaseInGuaranteeDeposits,임차보증금의 감소,Decrease in guarantee deposits,현금흐름표 [abstract],투자활동현금흐름,임차보증금의 감소,1510600000.0,400300000.0,84200000.0
entity00112819_udf_CF_2020324141232726_CashFlowsFromUsedInInvestingActivities,공동기업의 투자,investment in a joint venture,현금흐름표 [abstract],투자활동현금흐름,공동기업의 투자,,,-116127000.0
entity00112819_udf_CF_201989164951296_CashFlowsFromUsedInInvestingActivities,매각예정비유동자산처분,Proceeds from Available financial assets,현금흐름표 [abstract],투자활동현금흐름,매각예정비유동자산처분,48613532.0,,
entity00112819_udf_CF_2018111404042223_CashFlowsFromUsedInInvestingActivities,연결범위변동으로 인한 현금의 증감,Payment for consolidated capital transactions,현금흐름표 [abstract],투자활동현금흐름,연결범위변동으로 인한 현금의 증감,-397951508.0,2961849191.0,
ifrs-full_CashFlowsFromUsedInFinancingActivities,재무활동현금흐름,Cash flows from (used in) financing activities,현금흐름표 [abstract],재무활동현금흐름,,-6286925280.0,20136142763.0,13174376790.0
dart_ProceedsFromConvertibleBonds,전환사채의 발행,Proceeds from convertible bonds,현금흐름표 [abstract],재무활동현금흐름,전환사채의 발행,6030000000.0,17410000000.0,5000000000.0
dart_RepaymentsOfBonds,전환사채의 상환,Repayments of bonds,현금흐름표 [abstract],재무활동현금흐름,전환사채의 상환,11600000000.0,2300000000.0,200000000.0
entity00112819_udf_CF_2019514132449436_CashFlowsFromUsedInFinancingActivities,단기차입금의 차입,borrowing of short term borrowings,현금흐름표 [abstract],재무활동현금흐름,단기차입금의 차입,4688201381.0,1253317388.0,
dart_RepaymentsOfShortTermBorrowings,단기차입금의 상환,Repayments of short term borrowings,현금흐름표 [abstract],재무활동현금흐름,단기차입금의 상환,2921000000.0,,
entity00112819_udf_CF_201989165134983_CashFlowsFromUsedInFinancingActivities,리스부채의 감소,Decrease in Curent portion of lease liabilities,현금흐름표 [abstract],재무활동현금흐름,리스부채의 감소,-2484126661.0,,
entity00112819_udf_CF_20198916534158_CashFlowsFromUsedInFinancingActivities,유상증자,capital increase with consideration,현금흐름표 [abstract],재무활동현금흐름,유상증자,,4070688955.0,8621474000.0
dart_PaymentForStockIssueCost,주식발행비,Payment for stock issue cost,현금흐름표 [abstract],재무활동현금흐름,주식발행비,,297863580.0,250097210.0
entity00112819_udf_CF_20183280330321_CashFlowsFromUsedInFinancingActivities,비지배분의 순증감,Cash and Cash Equivalents,현금흐름표 [abstract],재무활동현금흐름,비지배분의 순증감,,,3000000.0
ifrs-full_IncreaseDecreaseInCashAndCashEquivalentsBeforeEffectOfExchangeRateChanges,현금및현금성자산의 순증감,Net increase (decrease) in cash and cash equivalents before effect of exchange rate changes,현금흐름표 [abstract],현금및현금성자산의 순증감,,-1327430803.0,-4512321366.0,366833963.0
dart_CashAndCashEquivalentsAtBeginningOfPeriodCf,기초현금및현금성자산,Cash and cash equivalents at beginning of period,현금흐름표 [abstract],기초현금및현금성자산,,4446577675.0,8958904673.0,8592101464.0
ifrs-full_EffectOfExchangeRateChangesOnCashAndCashEquivalents,현금및현금성자산에 대한 환율변동효과,Effect of exchange rate changes on cash and cash equivalents,현금흐름표 [abstract],현금및현금성자산에 대한 환율변동효과,,,-5632.0,-30754.0
dart_CashAndCashEquivalentsAtEndOfPeriodCf,기말현금및현금성자산,Cash and cash equivalents at end of period,현금흐름표 [abstract],기말현금및현금성자산,,3119146872.0,4446577675.0,8958904673.0
