Statement of cash flows(Unit: KWR),20020101-20021231,20010101-20011231,20000101-20001231,19990101-19991231,19980101-19981231,19970101-19971231
label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
I.영업활동으로인한현금흐름,-7405557379.0,18111229197.0,-4719937616.0,-742341791.0,40126376634.0,-33227865165.0
1.연결당기순이익,-98103755019.0,2222577864.0,2393495156.0,-344975689.0,,
2.현금의유출이없는비용등의가산,137569625151.0,31227324433.0,46499718480.0,30263214916.0,47842808135.0,59725797328.0
퇴직급여,2685562217.0,1805355429.0,2160152975.0,1890559502.0,,
감가상각비,8805212188.0,11420460289.0,10936837711.0,13242623352.0,,
무형자산상각비,634063012.0,1772631381.0,1792823824.0,1636152760.0,,
대손상각비,760356275.0,247446015.0,877339166.0,184510252.0,,
사채할인발행차금등의상각,1948707907.0,2711675979.0,3110323386.0,2664105475.0,,
유가증권처분손실,10392598127.0,47478800.0,5866949296.0,113835500.0,,
유가증권평가손실,3541991100.0,6788833793.0,5481143660.0,86000000.0,,
외화환산손실,3028979637.0,1115483399.0,6677581985.0,897294871.0,,
유형자산처분손실,8952450292.0,321493721.0,2883716589.0,3844045980.0,,
투자유가증권감액손실,3831751735.0,1251872512.0,,,,
기타의대손상각비,40373697837.0,,,,,
유형자산폐기손실,21921471778.0,115300.0,,28368836.0,,
재고자산폐기손실,8015132037.0,,,,,
재고자산처분손실,,338642665.0,119482410.0,,,
투자자산처분손실,6970014440.0,407368151.0,428154473.0,711914898.0,,
사채상환손실,,346243023.0,,3997144088.0,,
지분법평가손실,465157010.0,1070900070.0,457869519.0,455761097.0,,
경상연구개발비,76432227.0,,,,,
견본비,325200.0,152050277.0,150963048.0,272846110.0,,
무형자산일시상각비,11247018674.0,,,,,
잡손실,2646544913.0,124764476.0,863014.0,,,
영업권상각,1272158545.0,,,,,
외부주주지분순이익,,1304509153.0,4041660560.0,,,
3.현금의유입이없는수익등의차감,-18867305771.0,-14351966379.0,-30426996965.0,-21068552625.0,51539511591.0,47590567561.0
이자수익,234107036.0,2337941080.0,2942138081.0,2736301307.0,,
유가증권처분이익,4857460957.0,1716767952.0,706903300.0,1129015010.0,,
외화환산이익,45768133.0,1642145801.0,2413114509.0,539844746.0,,
유형자산처분이익,6986868873.0,10188127.0,23503799.0,59210579.0,,
투자자산처분이익,1482451288.0,8189139140.0,21286634239.0,134112419.0,,
대손충당금환입,37743046.0,119867489.0,37731938.0,,,
지분법평가이익,465157010.0,210693557.0,993468236.0,14251634938.0,,
잡이익,18761136.0,125223233.0,140340.0,,,
외부주주지분순손실,4738988292.0,,,720477010.0,,
