"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
concept_id,label_ko,label_en,class0,class1,class2,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,Cash flows from (used in) operating activities,현금흐름표 [abstract],영업활동현금흐름,,-43785140841.0,4057530624.0,3107984526.0
dart_AdjustmentsForAssetsLiabilitiesOfOperatingActivities,영업으로부터 창출된 현금흐름,Adjustments for assets and liabilities of operating activities,현금흐름표 [abstract],영업활동현금흐름,영업으로부터 창출된 현금흐름,-43822333329.0,3649361591.0,8288727436.0
ifrs-full_InterestReceivedClassifiedAsOperatingActivities,이자수취(영업),Interest received,현금흐름표 [abstract],영업활동현금흐름,이자수취(영업),171170547.0,2135301078.0,84032035.0
ifrs-full_InterestPaidClassifiedAsOperatingActivities,이자지급(영업),Interest paid,현금흐름표 [abstract],영업활동현금흐름,이자지급(영업),133978059.0,2051638652.0,5285138094.0
ifrs-full_DividendsReceivedClassifiedAsOperatingActivities,배당금수취(영업),Dividends received,현금흐름표 [abstract],영업활동현금흐름,배당금수취(영업),,727861.0,22109948.0
ifrs-full_IncomeTaxesPaidRefundClassifiedAsOperatingActivities,법인세납부(환급),Income taxes paid (refund),현금흐름표 [abstract],영업활동현금흐름,법인세납부(환급),,-323778746.0,1746799.0
ifrs-full_CashFlowsFromUsedInInvestingActivities,투자활동현금흐름,Cash flows from (used in) investing activities,현금흐름표 [abstract],투자활동현금흐름,,21944251010.0,2767030175.0,-1443767518.0
dart_ProceedsFromSalesOfFinancialInstruments,금융기관예치금의 감소,Proceeds from sales of financial instruments,현금흐름표 [abstract],투자활동현금흐름,금융기관예치금의 감소,233783866.0,2935986631.0,152863462.0
ifrs-full_CashFlowsFromLosingControlOfSubsidiariesOrOtherBusinessesClassifiedAsInvestingActivities,종속기업과 기타 사업의 지배력 상실에 따른 현금흐름,Cash flows from losing control of subsidiaries or other businesses,현금흐름표 [abstract],투자활동현금흐름,종속기업과 기타 사업의 지배력 상실에 따른 현금흐름,,,
ifrs-full_ProceedsFromSalesOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 처분,"Proceeds from sales of property, plant and equipment",현금흐름표 [abstract],투자활동현금흐름,유형자산의 처분,4357925802.0,382200000.0,
ifrs-full_ProceedsFromSalesOfIntangibleAssetsClassifiedAsInvestingActivities,무형자산의 처분,Proceeds from sales of intangible assets,현금흐름표 [abstract],투자활동현금흐름,무형자산의 처분,433682234.0,505000000.0,
dart_ProceedsFromSalesOfInvestmentProperty,투자부동산의 처분,Proceeds from sales of investment property,현금흐름표 [abstract],투자활동현금흐름,투자부동산의 처분,10264190902.0,,
entity00599887_udf_CF_2020210165147751_CashFlowsFromUsedInInvestingActivities,기타금융자산의 감소,sdjks,현금흐름표 [abstract],투자활동현금흐름,기타금융자산의 감소,350000000.0,,
dart_ProceedsFromSalesOfOtherNonCurrentFinancialAssets,기타비유동금융자산의 처분,Proceeds from sales of other non-current financial assets,현금흐름표 [abstract],투자활동현금흐름,기타비유동금융자산의 처분,6054825432.0,,
dart_ProceedsFromSalesOfShortTermLoansAndReceivables,단기대여금의 감소,Proceeds from sales of short-term loans and receivables,현금흐름표 [abstract],투자활동현금흐름,단기대여금의 감소,15232246.0,383457491.0,308460354.0
entity00599887_udf_CF_20171113101235179_CashFlowsFromUsedInInvestingActivities,파생금융상품의 감소,"Cash receipts from forward contracts, option contracts",현금흐름표 [abstract],투자활동현금흐름,파생금융상품의 감소,,,970573841.0
dart_DecreaseInGuaranteeDeposits,보증금의 감소,Decrease in guarantee deposits,현금흐름표 [abstract],투자활동현금흐름,보증금의 감소,528910017.0,768162000.0,
entity00599887_udf_CF_2019326154122632_CashFlowsFromUsedInInvestingActivities,연결실체 변동으로 인한 순자산 처분,mkl,현금흐름표 [abstract],투자활동현금흐름,연결실체 변동으로 인한 순자산 처분,-8638108.0,126935394.0,
dart_PurchaseOfFinancialInstruments,금융기관예치금의 증가,Purchase of financial instruments,현금흐름표 [abstract],투자활동현금흐름,금융기관예치금의 증가,,496157677.0,871486250.0
