Statement of cash flows(Unit: KWR),20080101-20081231,20070101-20071231,20060101-20061231,20050101-20051231,20040101-20041231,20030101-20031231,20020101-20021231,20010101-20011231,20000101-20001231
label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
Ⅰ.영업활동으로인한현금흐름,1166169071.0,-14335843925.0,-3211062288.0,-5737366917.0,127871796.0,-19381420.0,-319004988.0,-2316607776.0,-239083460.0
1.당기순손실,-2548976282.0,,,,,,,,-4145127983.0
2.현금의유출이없는비용등의가산,4212131696.0,25594891317.0,6906251006.0,7105360037.0,8108814729.0,10252345370.0,6801532301.0,6292247495.0,7105723334.0
가.외화환산손실,1174819568.0,106156582.0,351864050.0,190216383.0,807868102.0,65666430.0,367105768.0,134919567.0,
나.대손상각비,951765167.0,805137751.0,,1343483388.0,813118527.0,2709925293.0,558448926.0,,
다.기타의대손상각비,623201059.0,9696732503.0,791899497.0,670610891.0,146262822.0,264136049.0,21417601.0,244320927.0,
라.재고자산평가손실,19569497.0,6706406487.0,1063288586.0,107159148.0,261402255.0,,,,
마.지분법손실,,1183926365.0,28864118.0,50150000.0,,565791590.0,,,
바.유형자산처분손실,39886050.0,442772858.0,190001.0,1269034.0,521721779.0,10303548.0,13272070.0,9370901.0,
사.감가상각비,833335244.0,1219598619.0,1560572079.0,1268211026.0,1796748540.0,2159624780.0,2240171774.0,2139025173.0,1784121317.0
아.무형자산상각비,62099717.0,1560904180.0,1778172627.0,2034585248.0,1842159594.0,1586797270.0,1666447041.0,1796265944.0,663470.0
자.무형자산손상차손,452600459.0,,,,,,,,
차.퇴직급여,54151051.0,385381728.0,895089106.0,514197970.0,676004238.0,812055247.0,1194515830.0,969162487.0,1103031603.0
카.이자비용,703884.0,,,,,,,,
3.현금의유입이없는수익등의차감,-1129639614.0,-324161994.0,-2256805897.0,-334740634.0,-3489523291.0,-822971090.0,-585025255.0,-538067853.0,-313857678.0
가.외화환산이익,360685132.0,59044806.0,506869461.0,-189441781.0,-527559169.0,-56408402.0,-13458205.0,-124501359.0,
나.대손충당금환입,470211553.0,,432223141.0,,-269538306.0,-3184528.0,-95961709.0,-111116822.0,
다.지분법이익,106208664.0,,34987736.0,-145298853.0,,,,,
라.기타현금의유출이없는수익,192534265.0,,,,,,,,
4.영업활동으로인한자산부채의변동,632653271.0,,,-258499174.0,-4134884848.0,2005223543.0,-5518289263.0,-3279041970.0,-2885821133.0
가.매출채권의증가,-73506197.0,,,,,,,-4078471553.0,
나.미수금의감소,752621357.0,162493180.0,622071499.0,-451514484.0,-412411886.0,-80464582.0,-17707986.0,231791521.0,-248364945.0
다.미수수익의증가,-3363564.0,,,,,,-33485570.0,173996152.0,-124564467.0
라.선급금의증가,-942753758.0,-163430353.0,-1796118046.0,-333519155.0,408072095.0,20153206.0,315702986.0,-129292200.0,-29738190.0
마.선급비용의감소,1905238.0,305725522.0,-33705834.0,237976960.0,-30345698.0,-177016918.0,-42766060.0,118240956.0,
바.재고자산의증가,-6228477.0,,,,-1008558391.0,612606366.0,-1438692541.0,3465180281.0,-3686981337.0
사.퇴직보험예치금의증가,-36968035.0,,,,,,,,
아.매입채무의증가,1394343826.0,,,,947545860.0,-2323310475.0,-1120238762.0,-623772615.0,-613608444.0
자.미지급금의감소,-28716059.0,,,,,,,,
차.미지급비용의감소,-69322516.0,,,,,,,-347896869.0,8268095.0
카.선수금의감소,-374785758.0,-244909670.0,-254682536.0,631188450.0,-5629309.0,281018495.0,-458152168.0,100798502.0,357809105.0
타.예수금의증가,3683160.0,,,15225552.0,-101715869.0,59506682.0,2056358.0,21257967.0,43215567.0
파.미지급법인세의감소,-5994350.0,,,,,,,,
하.부가세예수금의증가,191696197.0,,,,,,,,
거.예수보증금의감소,-15000000.0,,,,,,,,
너.퇴직금의지급,-108905118.0,-783137408.0,-1868700760.0,-642523677.0,-876686240.0,-1523534878.0,-669312347.0,-534466182.0,-442603983.0
더.이연법인세부채의감소,-6763982.0,,,,,,,,
러.이연법인세자산의증가,-39288693.0,,,,,,,,
Ⅱ.투자활동으로인한현금흐름,-950218445.0,-667378262.0,-3766349302.0,-2463383253.0,4885403783.0,1641900391.0,-2000409564.0,-11465594255.0,-11760061090.0
1.투자활동으로인한현금유입액,1791128069.0,20117791718.0,1133704818.0,120774266.0,10469127901.0,6534889538.0,31606547514.0,8572074729.0,3016773095.0
가.단기금융상품의감소,349000000.0,3172786202.0,,,2340539615.0,2944200000.0,27261832261.0,6408030654.0,
나.장기금융상품의감소,114645213.0,15475655800.0,,,,,2022726044.0,1005020715.0,681558154.0
다.장기대여금의감소,1151800000.0,,,,,,,,
라.기계장치의처분,63256226.0,,,,,,,,
마.차량운반구의처분,1743774.0,,181818.0,,,,,,
바.보증금의감소,10190200.0,753820762.0,158800000.0,115883000.0,526555000.0,,129144567.0,8488025.0,960018051.0
사.합병으로인한현금증가,100492656.0,,,,,,,,
2.투자활동으로인한현금유출액,-2741346514.0,-20785169980.0,-4900054120.0,-2584157519.0,-5583724118.0,-4892989147.0,-33606957078.0,-20037668984.0,-14776834185.0
가.단기금융상품의증가,304154427.0,1983356314.0,736477241.0,-145459438.0,-1602662874.0,-326332149.0,-24577668322.0,-13420184942.0,
나.단기대여금의증가,393868812.0,1656718526.0,314191694.0,-825919850.0,-220257925.0,-64190000.0,-6779115.0,-379293774.0,970219473.0
다.장기대여금의증가,1619227583.0,,,-100000000.0,,,,,
라.기계장치의취득,223964885.0,19100000.0,623925139.0,-58500350.0,-481066913.0,-338186721.0,-30470287.0,-64911850.0,186231567.0
마.차량운반구의취득,12498806.0,,,,,-16509205.0,,,23352658.0
바.공구와기구의취득,34552950.0,10631817.0,234157332.0,-177915000.0,-729669990.0,-632256813.0,-432174851.0,-1430384500.0,425455800.0
사.비품의취득,22963851.0,53390910.0,118399834.0,-232348613.0,-584762092.0,-369434423.0,-1311431548.0,-362703279.0,1300674089.0
아.개발비의증가,31415200.0,687097735.0,904158697.0,-826460759.0,-1519706432.0,-2145294319.0,-2439599776.0,-2285090554.0,
자.보증금의증가,98700000.0,405220378.0,354836218.0,-151084681.0,-200996762.0,-776026479.0,-116643213.0,,15631601.0
Ⅲ.재무활동으로인한현금흐름,-9833032.0,12122380687.0,9023682793.0,9240924852.0,-5235354329.0,-2450438599.0,2319092987.0,506756047.0,20006900704.0
1.재무활동으로인한현금유입액,15633462009.0,16014929586.0,16034195870.0,29245565545.0,30385273312.0,9182340924.0,13905250997.0,30979303683.0,35325747100.0
가.단기차입금의증가,15633462009.0,,,,,,,,
2.재무활동으로인한현금유출액,-15643295041.0,-3892548899.0,-7010513077.0,-20004640693.0,-35620627641.0,-11632779523.0,-11586158010.0,-30472547636.0,-15318846396.0
가.단기차입금의상환,15358295041.0,3511195975.0,6973090637.0,-19660082451.0,-20943512824.0,-10915559692.0,-10364486658.0,-14064939041.0,13605639296.0
나.유동성장기부채의상환,285000000.0,,,,,,,,
Ⅳ.연결실체의변동으로인한현금의증가,14901871.0,,,,,,,,
Ⅴ.현금의증가(Ⅰ+Ⅱ+Ⅲ+Ⅳ),221019465.0,-2880841500.0,2046271203.0,1040174682.0,-222078750.0,-827919628.0,-321565.0,-13275445984.0,8007756154.0
Ⅵ.기초의현금,24112892.0,3141833274.0,1095562071.0,55387389.0,277466139.0,1105385767.0,1105707332.0,14381153316.0,5678905364.0
Ⅶ.기말의현금,245132357.0,260991774.0,3141833274.0,1095562071.0,55387389.0,277466139.0,1105385767.0,1105707332.0,14381153316.0
