Statement of cash flows(Unit: KWR),20000101-20001231,19990101-19991231,19980101-19981231,19970101-19971231
label_ko,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
Ⅰ.영업활동으로인한현금흐름,-6455512988.0,-943754401.0,-16393224923.0,660895169.0
1.연결당기순손실,-15863965631.0,-7338075065.0,39661479052.0,3158492257.0
2.현금의유출이없는비용등의가산,12216731888.0,7974375337.0,32916266616.0,4366735177.0
가.퇴직급여,1407303892.0,915643970.0,456885020.0,557420467.0
나.대손상각비,636503681.0,69142733.0,5018848622.0,
다.감가상각비,1136603999.0,1563282221.0,2217164597.0,3417765171.0
라.무형자산상각비,65296283.0,72195660.0,56430751.0,63475095.0
마.외화환산손실,2327426.0,,,
바.이자비용,,2448362904.0,,8152380.0
사.기타의대손상각비,,70640000.0,,
아.유가증권처분손실,665895.0,46711745.0,422290214.0,1740000.0
자.유가증권평가손실,,1444045.0,,
차.유형자산처분손실,1627429608.0,32329818.0,36709146.0,5615458.0
카.외환차손,330001.0,,,
타.투자유가증권처분손실,39933357.0,409716028.0,,
파.투자유가증권감액손실,,39439218.0,,
하.재고자산평가손실,7090719443.0,666403446.0,285671239.0,
거.투자자산처분손실,,80000000.0,,
너.유형자산제각손실,209618303.0,91379549.0,,
더.유형자산감액손실,,1467684000.0,,
3.현금의유입이없는수익등의차감,-1381909433.0,-1852023884.0,-10359024722.0,-215310122.0
가.외화환산이익,,2347225.0,,
나.대손충당금환입액,,2840868.0,,
다.투자자산처분이익,,47363637.0,,
라.외환차익,768250.0,,,
마.유형자산처분이익,1381141183.0,35805454.0,9792132801.0,6678122.0
바.자산수증이익,,1763666700.0,,
4.영업활동으로인한자산부채의변동,-1426369812.0,271969211.0,711012235.0,-332037629.0
가.매출채권의감소(증가),3201552585.0,234833063.0,8113399578.0,-334261520.0
나.미수수익의감소(증가),91328128.0,-62852698.0,67961979.0,-331203852.0
다.선급금의감소(증가),-22370539.0,23256591.0,271273810.0,-129684500.0
라.선급비용의감소(증가),278395773.0,894124646.0,,
마.선급제세의감소(증가),471311050.0,-194953842.0,596741810.0,-134469529.0
바.재고자산의감소(증가),-2197458505.0,-35554096.0,3464563019.0,867619535.0
사.국민연금전환금의감소(증가),111556400.0,39768900.0,,
아.매입채무의증가(감소),-609464955.0,1282188538.0,,
자.선수금의증가(감소),39730604.0,9543239.0,,
차.예수금의증가(감소),-226055498.0,127436348.0,,
카.미지급법인세의증가(감소),333818.0,-908629753.0,908629753.0,-220030734.0
타.미지급비용의증가(감소),2520737482.0,37307103.0,,
파.수입보증금의증가(감소),-2319613739.0,-247515088.0,,
하.부가가치세의증가(감소),-410739519.0,-16759766.0,,
거.퇴직금의지급,-2355612897.0,-910223974.0,-1715448024.0,-1635760961.0
