"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20160101-20160630,20150101-20151231,20150101-20150630,20140101-20141231,20130101-20131231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
ifrs_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,Cash flows from (used in) operating activities,현금흐름표 [abstract],영업활동현금흐름,,,514127716.0,1026766886.0,836192201.0,-6469669899.0,-4640933901.0
dart_ProfitLossForStatementOfCashFlows,당기순이익(손실),Profit (loss),현금흐름표 [abstract],영업활동현금흐름,당기순이익(손실),,807302163.0,-3021722219.0,-2301645719.0,-3198747958.0,-5799164183.0
ifrs_AdjustmentsForReconcileProfitLoss,당기순이익조정을 위한 가감,Adjustments to reconcile profit (loss),현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,,6121257.0,4554409303.0,3384448151.0,-3042114307.0,1585260973.0
dart_AdjustmentsForProvisionForSeveranceIndemnities,퇴직급여,Adjustments for Provision for severance indemnities                                                               ,현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,퇴직급여,27763750.0,164261162.0,113732082.0,171266604.0,142661638.0
dart_AdjustmentsForDepreciationExpense,감가상각비,Adjustments for depreciation expense,현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,감가상각비,139381190.0,229908445.0,68098224.0,194675661.0,186423806.0
dart_AdjustmentsForAmortisationExpense,무형자산상각비,Adjustments for amortisation expense,현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,무형자산상각비,221083451.0,655289331.0,315981223.0,367593920.0,11514690.0
dart_AdjustmentsForBadDebtExpenses,대손상각비,Adjustments for Bad debt expenses                                                                                 ,현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,대손상각비,249033805.0,169812749.0,35806466.0,506616292.0,231000000.0
entity00122339_udf_CF_201332118335708_AdjustmentsForReconcileProfitLoss,기타의대손상각비,NEWAccount for Adjustments to reconcile profit (loss) (1),현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,기타의대손상각비,1096898890.0,1143393358.0,-96521640.0,3093137325.0,1397058898.0
dart_AdjustmentsForReversalAllowanceDoubtfulAccounts,대손충당금환입,Adjustments for reversal Allowance Doubtful Accounts,현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,대손충당금환입,-269258336.0,,,17726795.0,365167479.0
entity00122339_udf_CF_201332118347380_AdjustmentsForReconcileProfitLoss,프로젝트투자손상차손,NEWAccount for Adjustments to reconcile profit (loss) (2),현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,프로젝트투자손상차손,,1381220570.0,6220570.0,,212568757.0
entity00122339_udf_CF_2016328191047869_AdjustmentsForReconcileProfitLoss,파생상품평가이익,NEWAccount for Adjustments to reconcile profit (loss) (32),현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,파생상품평가이익,,657810600.0,,,
entity00122339_udf_CF_201632819623420_AdjustmentsForReconcileProfitLoss,파생상품평가손실,NEWAccount for Adjustments to reconcile profit (loss) (27),현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,파생상품평가손실,,22975500.0,34764000.0,,
entity00122339_udf_CF_201332118355802_AdjustmentsForReconcileProfitLoss,프로젝트투자손상차손환입,NEWAccount for Adjustments to reconcile profit (loss) (3),현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,프로젝트투자손상차손환입,,81651.0,-81651.0,17952399.0,29158953.0
dart_AdjustmentsForGainOnDispositionOfTangibleAssets,유형자산처분이익,Adjustments for gain on disposition of tangible assets                                                            ,현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,유형자산처분이익,-5027996.0,10798296.0,,18234468.0,2425341.0
dart_AdjustmentsForLossOnDispositionOfTangibleAssets,유형자산처분손실,Adjustments for loss on disposition of tangible assets                                                            ,현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,유형자산처분손실,150131601.0,53211578.0,53211578.0,3961518.0,
entity00122339_udf_CF_201632819028598_AdjustmentsForReconcileProfitLoss,유형자산폐기손실,NEWAccount for Adjustments to reconcile profit (loss) (24),현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,유형자산폐기손실,,29891195.0,,,
entity00122339_udf_CF_20133211845958_AdjustmentsForReconcileProfitLoss,무형자산손상차손,NEWAccount for Adjustments to reconcile profit (loss) (4),현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,무형자산손상차손,906673.0,2111800801.0,1776200801.0,1971022833.0,1274811101.0
