company,총자산증가율,매출액증가율,자기자본비율,자산총계순이익률,매출액 법인세 비용 차감 전 순 이익률,자산총계 법인세 비용 차감 전 순 이익률,매출액 순이익률,자기자본 순이익률,재고자산 회전율,자산총계 회전율,매입채무 회전율,유동비율,부채비율,target,cluster
금강제강,1.082040598862543,0.0035070901490621455,0.31553853234502566,-0.06026875829136325,-0.08004432430427906,-0.07230318239525246,-0.06672143430310268,-0.16871333970595467,4.508261660023266,0.8690454942103508,4.315295281906492,0.8858120047630196,2.1691850518799707,1,0
금강제강,1.493921373428977,0.09925213692128537,0.402333122774533,0.010141449063196492,0.015303702094142656,0.01383741341550209,0.011216092965193072,0.023839832040688458,4.062525053749194,0.7547157863872404,3.2978554652124474,1.1700342359737756,1.4855025435238622,1,0
배명금속,1.1628801528459733,0.10433546269070644,0.4567953352041221,0.0032358298503546677,0.004612653484794009,0.0019392911504285126,0.0076965038654154055,0.007255827132645881,1.2243908597464024,0.39098463130048455,3.0935128393384126,1.1268861292274703,1.1891642119181083,1,0
배명금속,1.0480666168836674,0.07525884700765915,0.4333661179401951,-0.029924264485948933,-0.0535780326784157,-0.031277160559879995,-0.05126051060281662,-0.06542059078876529,1.8531138837318393,0.5703819213297419,5.520367940144306,0.9922849099087923,1.3075177283195012,1,0
풍림산업,1.156001537942214,0.001992725125771894,0.11121467617863894,-0.027976406446391607,-0.03977021874230846,-0.03227891510439147,-0.03446918213943789,-0.2121537451196099,34.66847984948368,0.75687055290497,2.0124622669450756,1.221477280614262,7.991619041301228,1,0
풍림산업,0.9364577417284771,0.026043298196464528,0.15574445685727878,-0.06071275013633644,-0.08166025400852846,-0.07409255356147255,-0.06691385786260137,-0.33434245236770793,32.02980861533669,0.9381098161740908,3.0048504004916667,0.8083161269137812,5.4207742617535395,1,0
A,1.6372229783251004,0.01411071897159463,0.32864606014494024,-0.12419191217306737,-0.04285381756446961,-0.05034152927887829,-0.1057198226490955,-0.35411782514626283,6.106511825330412,0.9461193226124346,1.4859524584777264,1.09169765472744,6.771091980876571,1,0
B,3.0903963815577424,0.04508288742627454,0.37330859977674263,-0.13373500839265703,-0.6496836407373713,-0.19926956767715462,-0.4360196499615599,-0.3319885711925913,1.747828693402489,0.20298327748770378,0.5046557414682828,0.5293992829553708,5.629636916714414,1,0
C,0.5885997176775493,0.013672029543146415,0.14559143810783395,-0.023419991436518763,-0.17619507849811838,-0.022056554545738308,-0.18708666491974785,-0.18670277625476084,2.003184567674538,0.1689306039389272,0.2779062386197032,1.7136576746998569,5.7208671869174745,1,0
D,0.5337656680530616,0.02053275107787778,0.11639488484742454,-0.055901848833131686,-0.2778229398285188,-0.06055645717575342,-0.2564683719788115,-0.6553472182048838,4.6486914851581655,0.3131632104596091,0.5800011250277801,0.4406029078096654,6.000935044901707,1,0
E,0.25942817697858794,0.011406963492209224,0.5307356635182111,-0.0011983464457639963,-0.17544595935835372,-0.1514789767110768,-0.0013879486539029656,-0.0035204691456779138,8.492973127251439,2.095729651475462,7.577042484424142,1.7069968525253332,6.2722956189300465,1,0
F,2.4391257808188214,0.0027685150442655075,0.20055679173953145,-0.08749395730313701,-0.07755223250132015,-0.039515898896233526,-0.17171194149097813,-0.40707060425620467,5.534978478089494,0.35922076112645945,0.866006363305775,0.8068371002039453,2.092338872140753,1,0
G,0.6344182903951947,0.003070512570687472,0.14272159895532555,-0.09213103194030353,-0.07974948109806843,-0.11595238356421032,-0.0633656830883519,-0.8651583921418596,16.166302717726726,1.8728773500014468,2.09659966016175,2.746070623082148,12.303287369572052,1,0
H,2.185954827515191,0.03353099847205906,0.17787377663442125,-0.01895942036074332,0.0010467134946026567,0.0014572741434982174,-0.013617946376099054,-0.0912836142526543,15.06994779936588,1.014569660353019,4.144876914283974,0.10192256007555049,6.283974818453996,1,0
I,1.5587020310552928,0.02041218957465542,0.2347769106782873,-0.18706167685277955,-0.05277745158823824,-0.07795278004309544,-0.12664896093063321,-0.3886759438172649,11.135742801354608,1.2122991731751693,2.022866779885149,0.9026218379053272,2.205724743568222,1,0
J,0.6690086672759282,0.03201907608639183,0.25632442962586993,-0.00828573834326153,-0.07582258404412474,-0.07617758680727851,-0.008247125148358564,-0.04059171384143313,13.74592451627438,1.2532147035130667,3.7059211808892973,0.5853384393112447,4.388221789265708,1,0
K,0.21062601280966348,0.003927784289268248,0.8487334546448728,-0.08328472541582718,-0.008991064719370702,-0.010963569951855295,-0.06830059548459418,-0.24292858177608273,18.296963470301762,3.5043612328087588,3.3947305411026227,0.27655028195594006,2.0219586813420376,1,0
L,1.0391937871930732,0.012348335266756197,0.1282912599630165,-0.029605196834752424,-0.015098872362995461,-0.0066010812772180644,-0.06771694962036102,-0.1778379143990815,9.251547405153548,0.42894590710535946,0.9322414762023641,0.9227691743159667,1.4888512232587405,1,0
M,0.21366961767163054,0.026841294211256236,0.7393974366693364,-0.017905126583862358,-0.05023957759300382,-0.033948161702183594,-0.02649763495926344,-0.09613224488931095,7.771958475253713,1.9191017192342295,1.9228053922050947,0.11047337557194623,5.470722594214672,1,0
N,0.7167434929343347,0.02141218920231183,0.16155101018817675,-0.05300267132670794,-0.03831374892059725,-0.009206451771481848,-0.22057694883308618,-0.4165080700216574,4.367755483170378,0.2877724995301493,0.5724557782110221,0.18546692464680758,4.939396382604324,1,0
O,2.580726026750631,0.09082116966740139,0.1907069416033002,-0.19786711011804814,-0.14528532060061225,-0.07798690076104905,-0.3686155783764034,-0.8740092793423989,4.308161139354614,0.3723909526300596,2.733415329703461,0.9312332040005223,12.305769562888676,1,0
P,1.1020783853781406,0.04617409856717988,0.15376407675429535,-0.06266702306464693,-0.08247991680474911,-0.027668064037635717,-0.18681360726007099,-0.5185888324863229,7.1177244886989905,0.31991675359350047,3.188680775012309,2.739894296148828,4.7774094538146334,1,0
Q,1.0597123336150107,0.029163511000099843,0.08538646281523384,-0.006436154508328718,-0.048129512932776855,-0.026949651099484107,-0.01149435963020267,-0.08152495517931682,22.270203295558243,0.5441645742522585,1.6407154267225,0.2358216703366349,5.627911633970462,1,0
R,1.4027116733746825,0.016546601269855993,0.19270425323741927,-0.0977155410574093,-0.09307610647591497,-0.13179591959525502,-0.06900807044513774,-0.3415353316238534,17.566180472668087,1.2127380627057711,5.377269661805464,1.0411388234373657,4.6914467081199485,1,0
S,5.854504893990834,0.03374868845574565,0.14293790457741193,-0.053451275114209815,-0.03788280829795437,-0.05357524346253193,-0.03779515084889798,-0.1626763668341997,19.37755796186592,0.8279000499447718,2.6910578863624077,1.1900154603934578,5.203595865924697,1,0
T,0.4469981301953123,0.06309752875629789,0.18156484352722532,-0.015459343127141404,-0.18181218848557024,-0.08368878635333865,-0.03358510893715223,-0.14604452803123366,6.548959839206833,0.745034773134176,1.7611075522562942,1.9367391880748668,11.240573428680454,1,0
U,1.1990598090119515,0.01925141605310876,0.13747066034277325,-0.010969257146792838,-0.13650266294608082,-0.06188691330930702,-0.02419465975939005,-0.07374333394381623,7.866901888943017,0.4157419969339205,1.1817816366645437,1.0153394541028613,6.3952875020184505,1,0
V,0.7144727813595034,0.004477855562891361,0.4595655508906582,-0.1305779726016306,-0.016726439653534424,-0.03824200447073061,-0.05711271176890584,-0.47627219319046316,31.462870782502183,2.7431657547813373,4.662317799574767,1.7863802044380261,3.5682629887394794,1,0
W,4.28362703406983,0.04925456544298473,0.15522316786593915,-0.0063490135377421075,-0.016286535414289552,-0.012082613412993078,-0.008558035442650628,-0.023470984905869366,8.933245103091318,0.4575332698196392,1.4797353704625695,0.13895035835695585,3.551106499974625,1,0
X,1.1387084705444936,0.023482051529643572,0.5007297834479969,-0.2947854877179869,-0.030493099398932882,-0.10362750612525076,-0.08674263730213581,-0.4646476687041079,13.4236187867507,3.1914093992787116,3.1683649061970263,1.2894160879021412,2.6938582042075083,1,0
Y,1.7331600561972267,0.024498729457127576,0.14577304630593138,-0.18701210913140204,-0.04550552928514874,-0.04567413684128516,-0.18632174787075836,-0.791419787048112,5.974424284206335,0.7914119008222082,2.2732896777295997,0.6222271578332883,9.203978080547408,1,0
Z,3.6884695294659946,0.02434329586391836,0.1337081488548435,-0.039635759493984776,-0.042468415976461366,-0.042972216838636446,-0.0391710748378262,-0.27184147516045387,20.91419959383448,0.6430971693806247,2.0201776084446554,0.17771009052230569,2.094534114845129,1,0
A,0.3731233927397359,0.029733160727630235,0.16564901708624755,-0.014793483449304605,-0.11001526008793744,-0.012590690212434651,-0.129262884069255,-0.08840417067836406,1.494658292188891,0.2105831904442356,0.43671710844876094,0.7904939828331565,3.195087835953468,1,0
B,2.1936144618391817,0.05494875316504983,0.1723090481860816,-0.12611020733416528,0.003746129194513425,0.0037364620829901988,-0.12643648428049548,-0.3397250659978665,9.47233378611992,0.7260558323266698,0.7346269604336141,2.2130758806066377,6.552967065033852,1,0
C,0.6753799973920691,0.03894060296061145,0.12647684783253818,-0.024100992583256844,-0.02263511349283593,-0.012455984222105919,-0.043796515207835084,-0.1511982516773981,18.248498222874577,0.6825437737874221,3.851397435854567,0.36165263980116386,9.315871323822522,1,0
D,3.578504685629261,0.05202239582275732,0.11654796045667093,-0.07169778582500558,-0.20183276394039826,-0.10964478089983185,-0.13198040219249302,-0.37456181864843185,7.987721294046801,0.3475268577502609,0.8020713335736955,1.6949199964727004,9.492908281480215,1,0
E,0.682000928627657,0.031424447160231725,0.20899512311659404,-0.040758130786797346,-0.07907143055400694,-0.08904650884585102,-0.03619236452715282,-0.18276560778871975,14.431882674003168,1.3887004322393284,3.3732164875272854,0.5887897012545302,3.765291413888886,1,0
F,1.2648744395287186,0.060441680658831716,0.09105906313265773,-0.021082232026475245,-0.18401194586076905,-0.11458704171903372,-0.03385533372780616,-0.08758778423995396,6.812263996903231,0.5575145524231574,5.504880496403153,0.1849875144787541,14.544494620176541,1,0
G,1.7840508633983818,0.006967487525341641,0.1516270073031736,-0.03716160525265746,-0.019809018018269772,-0.024072934629785138,-0.03057935890902598,-0.1562705985988666,20.952709654313345,0.9482132664116512,2.915921869808483,0.5361905878428147,1.5358689935002594,1,0
H,1.5122276430275046,0.07243652211584659,0.34819635262250276,0.0006568870830682583,-0.07739778975859812,-0.05361040205567833,0.0009483534239801653,0.002148147338586218,8.78106837881614,0.5753502780367582,0.623884066099687,0.9406935773568504,6.200782344252077,1,0
I,0.6145500456282169,0.031058316190463016,0.5308581653090092,-0.12385459291008043,-0.08814523005606563,-0.1778386437007017,-0.061388185145703045,-0.4284938019588277,12.880960461983097,2.6502789199152126,2.4392491020366642,0.600485127966306,4.236138476805698,1,0
J,0.5300380419058962,0.023123775324356978,0.21329400732458018,-0.09191458631287353,-0.08782496546014594,-0.10956170606889482,-0.07367898564061809,-0.392625023982373,13.289703206357151,1.80055333818568,1.608012271203667,0.3067349617194194,5.190908252341053,1,0
K,1.778723280402455,0.09317984247412181,0.10589238377393956,-0.04704519188465843,-0.06936410750204004,-0.018806306719861842,-0.17351879855788727,-0.4752765324610111,4.493529344834173,0.2117754567055065,1.0569159239586836,1.7417007014388444,1.1283288226319252,1,0
L,0.7423063616723438,0.004268350214292609,0.25102754629652824,-0.05414002476311406,-0.031542713090660084,-0.06084302712142652,-0.028067690721830407,-0.19683224510576555,18.442335118561243,2.2637221057589,2.6927806964510506,0.2900399786322148,5.616319346493988,1,0
M,0.6646311621904236,0.11336097643731421,0.14698547938526235,-0.06840386173234657,-0.10835461845463652,-0.02387235157996374,-0.3104794395309163,-0.29677541544637104,3.4954753680976296,0.27590215937358814,4.647831702798038,1.0976289430344246,10.21850538688142,1,0
N,0.9559261953891331,0.009428161758790878,0.09796112588471353,-0.06402768667796421,-0.04561898159482315,-0.03125533709796031,-0.09345213110217156,-0.4667044868404794,15.922407321484844,0.7009333212753358,4.409504713855446,0.6225838436981037,2.4166843404263925,1,0
O,0.4585447251630401,0.0334759592249295,0.3138151412301734,0.001353915332432641,-0.11040269886560587,-0.08525150984212507,0.0017533520170246585,0.009093388190292933,12.96239625499452,1.228090699824035,1.101368960425196,0.8146308481553225,3.7378360989668087,1,0
P,6.326378563505369,0.0027036966692088587,0.13593990494285657,-0.07271029186800487,-0.003979397750569141,-0.004915032473311263,-0.05886902547926269,-0.3474233770011074,17.15914016210415,0.7151764829295942,2.3855580734651176,0.6011471944387691,1.0584613232574045,1,0
Q,1.3880322410080308,0.025035432763621336,0.08983965724293975,-0.04101406921681233,-0.096238062452935,-0.023759804499293078,-0.16612571685318464,-0.2945287074359809,5.987581668598726,0.2123765826723011,0.8103944154892757,1.4496043307606843,2.997315331252509,1,0
R,2.081630449508781,0.03067671627879162,0.16161324247691608,-0.0034404180837198208,-0.046753757504076655,-0.03531849558376344,-0.004554341008591074,-0.012583776649471589,9.291394804238962,0.5591555054191398,4.782082464528738,0.2930178533070488,6.859816003502293,1,0
S,1.922392458048513,0.029911058150090004,0.08264689675566146,-0.015441724135449527,-0.09654185010122653,-0.07565445967646908,-0.019705019679794728,-0.10897165986399232,14.402028345232317,0.5956421264498574,1.7018305853572282,2.4113592143517866,10.015527473342397,1,0
T,1.403120931078823,0.011015674281612247,0.05567414602022121,-0.013096815963057564,-0.05862420776488803,-0.048258259172998266,-0.015910032256331103,-0.14297900141947684,18.086583339483308,0.7049286990122801,14.368544230190974,0.9656889309682084,14.731316047577913,1,0
U,0.46044529970078313,0.10871137615303232,0.11985096089194376,-0.023461129344680802,-0.5141779440937031,-0.0636108784501383,-0.18964044431520022,-0.2634125219327,2.161136985161371,0.19619828433275516,0.3478361962877557,0.8239336090514855,13.184094903105308,1,0
V,0.4322780312941708,0.03425046431830759,0.2636327530881022,-0.08770295214231665,-0.07218264645719864,-0.07172981496562561,-0.08825662230935939,-0.29489633256468145,16.47115138308471,1.6462700598316542,4.3368557845358895,0.8983654924740345,11.697907832041892,1,0
W,1.4166228815503328,0.030535670372289395,0.09888387269460815,-0.05406659493432327,-0.10039033834116542,-0.06760419941138908,-0.08028737572028778,-0.5541814452220861,17.8749957450604,0.5743893666436739,2.3775598181047366,0.6654500890312713,7.668845326662342,1,0
X,0.9755030548234178,0.09514662541441596,0.22192020258079517,-0.09998745157888626,-0.06280195420296336,-0.028648220284005474,-0.21919013791003533,-0.41971552068861673,4.330029413978512,0.46189532407769535,1.192960015009891,0.4512258156723809,3.634721288355305,1,0
Y,3.4774853320957453,0.03978699392112799,0.09604543165218112,-0.024912420401649354,-0.19444580281910526,-0.15356747855957156,-0.031543889569604716,-0.09751310850398517,6.219424987537699,0.5084398123105653,1.4524445112939697,0.6069055859411059,10.11605837007299,1,0
